,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160905:2356,0,0,0,18.56,2.47,0,,,,,,,,,,
20160906:0056,0,0,0,18.28,2.26,0,,,,,,,,,,
20160906:0156,0,0,0,17.97,2.56,0,,,,,,,,,,
20160906:0256,0,0,0,17.66,2.85,0,,,,,,,,,,
20160906:0356,0,0,0,17.35,3.14,0,,,,,,,,,,
20160906:0456,0,0,0,17.33,3.18,0,,,,,,,,,,
20160906:0556,25.15,45.27,3.95,17.32,3.21,0,,,,,,,,,,
20160906:0656,58.02,104.436,13.21,17.3,3.24,0,,,,,,,,,,
20160906:0756,161.86,291.348,22.25,17.84,3.39,0,,,,,,,,,,
20160906:0856,197.03,354.654,30.61,18.38,3.54,0,,,,,,,,,,
20160906:0956,348.83,627.894,37.66,18.91,3.7,0,,,,,,,,,,
20160906:1056,160.09,288.162,42.63,19.57,3.73,0,,,,,,,,,,
20160906:1156,82.59,148.662,44.71,20.22,3.77,0,,,,,,,,,,
20160906:1256,437.54,787.572,43.46,20.87,3.81,0,,,,,,,,,,
20160906:1356,346.18,623.124,39.15,21.61,3.53,0,,,,,,,,,,
20160906:1456,252.12,453.816,32.55,22.36,3.25,0,,,,,,,,,,
20160906:1556,234.75,422.55,24.46,23.1,2.97,0,,,,,,,,,,
20160906:1656,109.99,197.982,15.54,22.48,2.54,0,,,,,,,,,,
20160906:1756,31.85,57.33,6.3,21.87,2.12,0,,,,,,,,,,
20160906:1856,0,0,0,21.25,1.7,0,,,,,,,,,,
20160906:1956,0,0,0,20.12,1.73,0,,,,,,,,,,
20160906:2056,0,0,0,18.98,1.76,0,,,,,,,,,,
20160906:2156,0,0,0,17.85,1.79,0,,,,,,,,,,
20160906:2256,0,0,0,17.48,1.69,0,,,,,,,,,,
20160906:2356,0,0,0,17.1,1.59,0,,,,,,,,,,
20160907:0056,0,0,0,16.73,1.49,0,,,,,,,,,,
20160907:0156,0,0,0,16.45,1.46,0,,,,,,,,,,
20160907:0256,0,0,0,16.17,1.43,0,,,,,,,,,,
20160907:0356,0,0,0,15.89,1.41,0,,,,,,,,,,
20160907:0456,0,0,0,15.68,1.44,0,,,,,,,,,,
20160907:0556,23.99,43.182,3.71,15.47,1.48,0,,,,,,,,,,
20160907:0656,211.87,381.366,12.97,15.26,1.52,0,,,,,,,,,,
20160907:0756,160.16,288.288,22,16.32,1.84,0,,,,,,,,,,
20160907:0856,204.16,367.488,30.34,17.38,2.17,0,,,,,,,,,,
20160907:0956,548.96,988.128,37.36,18.43,2.5,0,,,,,,,,,,
20160907:1056,384.42,691.956,42.29,19.86,2.94,0,,,,,,,,,,
