,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160310:0356,0,0,0,3.81,4.86,0,,,,,,,,,,
20160310:0456,0,0,0,3.62,4.66,0,,,,,,,,,,
20160310:0556,0,0,0,3.44,4.46,0,,,,,,,,,,
20160310:0656,37.68,67.824,2.83,3.25,4.26,0,,,,,,,,,,
20160310:0756,54.82,98.676,11.71,3.58,4.53,0,,,,,,,,,,
20160310:0856,119.37,214.866,19.82,3.92,4.8,0,,,,,,,,,,
20160310:0956,181.68,327.024,26.63,4.25,5.06,0,,,,,,,,,,
20160310:1056,230.45,414.81,31.53,5.01,4.74,0,,,,,,,,,,
20160310:1156,214.69,386.442,33.94,5.77,4.43,0,,,,,,,,,,
20160310:1256,169.22,304.596,33.48,6.53,4.11,0,,,,,,,,,,
20160310:1356,132.3,238.14,30.24,7,3.87,0,,,,,,,,,,
20160310:1456,85.37,153.666,24.67,7.47,3.62,0,,,,,,,,,,
20160310:1556,127.33,229.194,17.4,7.93,3.38,0,,,,,,,,,,
20160310:1656,57.95,104.31,9,7.18,2.86,0,,,,,,,,,,
20160310:1756,0,0,0,6.42,2.34,0,,,,,,,,,,
20160310:1856,0,0,0,5.66,1.82,0,,,,,,,,,,
20160310:1956,0,0,0,4.84,1.82,0,,,,,,,,,,
20160310:2056,0,0,0,4.03,1.81,0,,,,,,,,,,
20160310:2156,0,0,0,3.21,1.81,0,,,,,,,,,,
20160310:2256,0,0,0,2.81,1.76,0,,,,,,,,,,
20160310:2356,0,0,0,2.41,1.71,0,,,,,,,,,,
20160311:0056,0,0,0,2.01,1.67,0,,,,,,,,,,
20160311:0156,0,0,0,0.86,1.86,0,,,,,,,,,,
20160311:0256,0,0,0,-0.29,2.05,0,,,,,,,,,,
20160311:0356,0,0,0,-1.44,2.23,0,,,,,,,,,,
20160311:0456,0,0,0,-1.94,2.01,0,,,,,,,,,,
20160311:0556,0,0,0,-2.45,1.78,0,,,,,,,,,,
20160311:0656,59.57,107.226,3.18,-2.95,1.56,0,,,,,,,,,,
20160311:0756,88.69,159.642,12.07,-1.26,1.49,0,,,,,,,,,,
20160311:0856,169.28,304.704,20.19,0.43,1.42,0,,,,,,,,,,
20160311:0956,270.22,486.396,27.02,2.12,1.35,0,,,,,,,,,,
20160311:1056,330.82,595.476,31.93,3.86,1.27,0,,,,,,,,,,
20160311:1156,472.76,850.968,34.33,5.61,1.2,0,,,,,,,,,,
20160311:1256,928.73,1671.714,33.86,7.35,1.12,0,,,,,,,,,,
20160311:1356,819.98,1475.964,30.6,7.82,1.18,0,,,,,,,,,,
20160311:1456,643.03,1157.454,25,8.29,1.25,0,,,,,,,,,,
20160311:1556,417.5,751.5,17.7,8.76,1.31,0,,,,,,,,,,
20160311:1656,154.82,278.676,9.27,7.7,1.59,0,,,,,,,,,,
20160311:1756,0.13,0.234,0.22,6.65,1.86,0,,,,,,,,,,
20160311:1856,0,0,0,5.59,2.14,0,,,,,,,,,,
20160311:1956,0,0,0,4.34,2.27,0,,,,,,,,,,
20160311:2056,0,0,0,3.09,2.4,0,,,,,,,,,,
20160311:2156,0,0,0,1.84,2.54,0,,,,,,,,,,
20160311:2256,0,0,0,1.42,2.59,0,,,,,,,,,,
20160311:2356,0,0,0,1,2.64,0,,,,,,,,,,
20160312:0056,0,0,0,0.58,2.69,0,,,,,,,,,,
20160312:0156,0,0,0,0.38,2.57,0,,,,,,,,,,
20160312:0256,0,0,0,0.17,2.44,0,,,,,,,,,,
20160312:0356,0,0,0,-0.04,2.32,0,,,,,,,,,,
20160312:0456,0,0,0,-0.16,2.09,0,,,,,,,,,,
20160312:0556,0,0,0,-0.29,1.86,0,,,,,,,,,,
20160312:0656,63.78,114.804,3.53,-0.41,1.63,0,,,,,,,,,,
20160312:0756,105.37,189.666,12.43,0.74,1.53,0,,,,,,,,,,
20160312:0856,170.39,306.702,20.57,1.9,1.43,0,,,,,,,,,,
20160312:0956,290.64,523.152,27.4,3.05,1.32,0,,,,,,,,,,
20160312:1056,372.01,669.618,32.33,4.55,1.37,0,,,,,,,,,,
20160312:1156,922.94,1661.292,34.73,6.05,1.41,0,,,,,,,,,,
20160312:1256,895.76,1612.368,34.24,7.55,1.45,0,,,,,,,,,,
20160312:1356,737.43,1327.374,30.95,8.2,1.25,0,,,,,,,,,,
20160312:1456,379.65,683.37,25.32,8.85,1.05,0,,,,,,,,,,
20160312:1556,305.73,550.314,18,9.49,0.86,0,,,,,,,,,,
20160312:1656,70.17,126.306,9.55,9.13,0.87,0,,,,,,,,,,
20160312:1756,0.27,0.486,0.49,8.76,0.89,0,,,,,,,,,,
20160312:1856,0,0,0,8.4,0.91,0,,,,,,,,,,
20160312:1956,0,0,0,7.22,0.98,0,,,,,,,,,,
20160312:2056,0,0,0,6.04,1.05,0,,,,,,,,,,
20160312:2156,0,0,0,4.86,1.12,0,,,,,,,,,,
20160312:2256,0,0,0,4.13,1.33,0,,,,,,,,,,
20160312:2356,0,0,0,3.4,1.54,0,,,,,,,,,,
20160313:0056,0,0,0,2.66,1.75,0,,,,,,,,,,
20160313:0156,0,0,0,2.51,1.61,0,,,,,,,,,,
20160313:0256,0,0,0,2.35,1.47,0,,,,,,,,,,
20160313:0356,0,0,0,2.19,1.32,0,,,,,,,,,,
20160313:0456,0,0,0,1.66,1.46,0,,,,,,,,,,
20160313:0556,0,0,0,1.13,1.6,0,,,,,,,,,,
20160313:0656,71.99,129.582,3.88,0.6,1.74,0,,,,,,,,,,
20160313:0756,116.03,208.854,12.8,1.77,2.34,0,,,,,,,,,,
