,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160605:1656,301.67,543.006,27.91,21.47,3.83,0,,,,,,,,,,
20160605:1756,98.13,176.634,18.72,20.93,3.82,0,,,,,,,,,,
20160605:1856,45.14,81.252,9.94,20.38,3.81,0,,,,,,,,,,
20160605:1956,8.55,15.39,1.89,19.06,3.39,0,,,,,,,,,,
20160605:2056,0,0,0,17.74,2.98,0,,,,,,,,,,
20160605:2156,0,0,0,16.42,2.57,0,,,,,,,,,,
20160605:2256,0,0,0,15.43,2.42,0,,,,,,,,,,
20160605:2356,0,0,0,14.43,2.27,0,,,,,,,,,,
20160606:0056,0,0,0,13.43,2.12,0,,,,,,,,,,
20160606:0156,0,0,0,12.7,2.06,0,,,,,,,,,,
20160606:0256,0,0,0,11.98,2,0,,,,,,,,,,
20160606:0356,0,0,0,11.25,1.93,0,,,,,,,,,,
20160606:0456,37.18,66.924,7.78,11.48,2.36,0,,,,,,,,,,
20160606:0556,118.44,213.192,16.4,11.7,2.8,0,,,,,,,,,,
20160606:0656,324.38,583.884,25.51,11.93,3.23,0,,,,,,,,,,
20160606:0756,545.05,981.09,34.77,13.75,3.24,0,,,,,,,,,,
20160606:0856,744.66,1340.388,43.77,15.58,3.26,0,,,,,,,,,,
20160606:0956,902.22,1623.996,51.86,17.4,3.27,0,,,,,,,,,,
20160606:1056,998.09,1796.562,58.04,18.73,3.35,0,,,,,,,,,,
20160606:1156,1029.97,1853.946,60.82,20.07,3.43,0,,,,,,,,,,
20160606:1256,991.55,1784.79,59.19,21.4,3.5,0,,,,,,,,,,
20160606:1356,880.92,1585.656,53.78,21.64,3.74,0,,,,,,,,,,
20160606:1456,720.56,1297.008,46.08,21.88,3.97,0,,,,,,,,,,
20160606:1556,520.48,936.864,37.25,22.12,4.21,0,,,,,,,,,,
20160606:1656,201.02,361.836,28.02,21.64,3.96,0,,,,,,,,,,
20160606:1756,98.94,178.092,18.83,21.16,3.72,0,,,,,,,,,,
20160606:1856,56.87,102.366,10.05,20.67,3.48,0,,,,,,,,,,
20160606:1956,9.32,16.776,2,19.15,3.01,0,,,,,,,,,,
20160606:2056,0,0,0,17.63,2.55,0,,,,,,,,,,
20160606:2156,0,0,0,16.1,2.08,0,,,,,,,,,,
20160606:2256,0,0,0,15.29,2.03,0,,,,,,,,,,
20160606:2356,0,0,0,14.48,1.97,0,,,,,,,,,,
20160607:0056,0,0,0,13.67,1.92,0,,,,,,,,,,
20160607:0156,0,0,0,12.98,1.85,0,,,,,,,,,,
20160607:0256,0,0,0,12.3,1.78,0,,,,,,,,,,
20160607:0356,0,0,0,11.61,1.71,0,,,,,,,,,,
20160607:0456,37.22,66.996,7.84,12.19,1.65,0,,,,,,,,,,
20160607:0556,96.69,174.042,16.45,12.76,1.58,0,,,,,,,,,,
20160607:0656,239.08,430.344,25.56,13.34,1.52,0,,,,,,,,,,
20160607:0756,313.74,564.732,34.82,14.79,1.33,0,,,,,,,,,,
20160607:0856,492.79,887.022,43.82,16.23,1.14,0,,,,,,,,,,
20160607:0956,514.61,926.298,51.93,17.68,0.95,0,,,,,,,,,,
20160607:1056,578.08,1040.544,58.12,18.55,0.76,0,,,,,,,,,,
20160607:1156,644.42,1159.956,60.92,19.41,0.57,0,,,,,,,,,,
20160607:1256,391.55,704.79,59.3,20.28,0.37,0,,,,,,,,,,
20160607:1356,330.02,594.036,53.89,20.3,0.35,0,,,,,,,,,,
