,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160406:2356,0,0,0,4.15,6.92,0,,,,,,,,,,
20160407:0056,0,0,0,3.91,6.76,0,,,,,,,,,,
20160407:0156,0,0,0,3.93,6.85,0,,,,,,,,,,
20160407:0256,0,0,0,3.95,6.93,0,,,,,,,,,,
20160407:0356,0,0,0,3.97,7.02,0,,,,,,,,,,
20160407:0456,0,0,0,3.92,6.92,0,,,,,,,,,,
20160407:0556,24.84,44.712,3.5,3.88,6.83,0,,,,,,,,,,
20160407:0656,72.35,130.23,12.76,3.84,6.73,0,,,,,,,,,,
20160407:0756,307.88,554.184,21.84,4.62,7.16,0,,,,,,,,,,
20160407:0856,169.38,304.884,30.28,5.41,7.59,0,,,,,,,,,,
20160407:0956,266.19,479.142,37.48,6.19,8.01,0,,,,,,,,,,
20160407:1056,390.41,702.738,42.65,6.5,7.74,0,,,,,,,,,,
20160407:1156,229.04,412.272,44.98,6.8,7.47,0,,,,,,,,,,
20160407:1256,316.33,569.394,43.98,7.11,7.2,0,,,,,,,,,,
20160407:1356,643.08,1157.544,39.87,7.72,7.11,0,,,,,,,,,,
20160407:1456,385.41,693.738,33.39,8.32,7.02,0,,,,,,,,,,
20160407:1556,60.26,108.468,25.37,8.92,6.92,0,,,,,,,,,,
20160407:1656,104.02,187.236,16.48,8.7,6.34,0,,,,,,,,,,
20160407:1756,16.46,29.628,7.25,8.48,5.75,0,,,,,,,,,,
20160407:1856,0,0,0,8.26,5.16,0,,,,,,,,,,
20160407:1956,0,0,0,7.53,4.68,0,,,,,,,,,,
20160407:2056,0,0,0,6.8,4.19,0,,,,,,,,,,
20160407:2156,0,0,0,6.06,3.71,0,,,,,,,,,,
20160407:2256,0,0,0,5.62,3.56,0,,,,,,,,,,
20160407:2356,0,0,0,5.17,3.42,0,,,,,,,,,,
20160408:0056,0,0,0,4.73,3.27,0,,,,,,,,,,
20160408:0156,0,0,0,4.39,3.13,0,,,,,,,,,,
20160408:0256,0,0,0,4.05,2.99,0,,,,,,,,,,
20160408:0356,0,0,0,3.72,2.86,0,,,,,,,,,,
20160408:0456,0,0,0,3.75,2.75,0,,,,,,,,,,
20160408:0556,26.92,48.456,3.84,3.79,2.64,0,,,,,,,,,,
20160408:0656,173.38,312.084,13.1,3.82,2.54,0,,,,,,,,,,
20160408:0756,323.97,583.146,22.19,5.04,2.99,0,,,,,,,,,,
20160408:0856,319.33,574.794,30.64,6.25,3.45,0,,,,,,,,,,
20160408:0956,187.42,337.356,37.85,7.47,3.9,0,,,,,,,,,,
20160408:1056,267.52,481.536,43.03,8.21,3.73,0,,,,,,,,,,
20160408:1156,258.69,465.642,45.36,8.95,3.56,0,,,,,,,,,,
20160408:1256,325.33,585.594,44.34,9.69,3.39,0,,,,,,,,,,
20160408:1356,380.01,684.018,40.19,10.22,3.39,0,,,,,,,,,,
20160408:1456,270.62,487.116,33.67,10.74,3.39,0,,,,,,,,,,
20160408:1556,145.37,261.666,25.63,11.26,3.39,0,,,,,,,,,,
20160408:1656,213.77,384.786,16.74,10.61,3.2,0,,,,,,,,,,
20160408:1756,45.01,81.018,7.49,9.95,3.01,0,,,,,,,,,,
20160408:1856,0,0,0,9.3,2.81,0,,,,,,,,,,
20160408:1956,0,0,0,8.52,3.18,0,,,,,,,,,,
20160408:2056,0,0,0,7.74,3.54,0,,,,,,,,,,
20160408:2156,0,0,0,6.96,3.9,0,,,,,,,,,,
20160408:2256,0,0,0,6.77,4.36,0,,,,,,,,,,
20160408:2356,0,0,0,6.58,4.82,0,,,,,,,,,,
20160409:0056,0,0,0,6.39,5.28,0,,,,,,,,,,
20160409:0156,0,0,0,6.16,5.21,0,,,,,,,,,,
20160409:0256,0,0,0,5.93,5.14,0,,,,,,,,,,
20160409:0356,0,0,0,5.71,5.08,0,,,,,,,,,,
20160409:0456,0,0,0,5.57,4.62,0,,,,,,,,,,
20160409:0556,27.57,49.626,4.18,5.43,4.17,0,,,,,,,,,,
20160409:0656,239.86,431.748,13.44,5.29,3.71,0,,,,,,,,,,
20160409:0756,487.85,878.13,22.53,5.39,3.56,0,,,,,,,,,,
20160409:0856,718.83,1293.894,30.99,5.5,3.41,0,,,,,,,,,,
20160409:0956,903.24,1625.832,38.22,5.6,3.26,0,,,,,,,,,,
