,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160116:1456,197.65,355.77,9.21,1.82,2.33,0,,,,,,,,,,
20160116:1556,66.54,119.772,2.77,2.09,2.25,0,,,,,,,,,,
20160116:1656,0,0,0,1.34,2.05,0,,,,,,,,,,
20160116:1756,0,0,0,0.58,1.85,0,,,,,,,,,,
20160116:1856,0,0,0,-0.17,1.66,0,,,,,,,,,,
20160116:1956,0,0,0,0.12,1.97,0,,,,,,,,,,
20160116:2056,0,0,0,0.41,2.28,0,,,,,,,,,,
20160116:2156,0,0,0,0.71,2.59,0,,,,,,,,,,
20160116:2256,0,0,0,1.02,2.51,0,,,,,,,,,,
20160116:2356,0,0,0,1.33,2.43,0,,,,,,,,,,
20160117:0056,0,0,0,1.64,2.34,0,,,,,,,,,,
20160117:0156,0,0,0,1.27,2.1,0,,,,,,,,,,
20160117:0256,0,0,0,0.9,1.85,0,,,,,,,,,,
20160117:0356,0,0,0,0.52,1.6,0,,,,,,,,,,
20160117:0456,0,0,0,0.38,2,0,,,,,,,,,,
20160117:0556,0,0,0,0.23,2.4,0,,,,,,,,,,
20160117:0656,0,0,0,0.08,2.8,0,,,,,,,,,,
20160117:0756,0,0,0,-0.05,3.23,0,,,,,,,,,,
