,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20161208:2156,0,0,0,9.51,2.25,0,,,,,,,,,,
20161208:2256,0,0,0,9.87,2.82,0,,,,,,,,,,
20161208:2356,0,0,0,10.23,3.39,0,,,,,,,,,,
20161209:0056,0,0,0,10.6,3.96,0,,,,,,,,,,
20161209:0156,0,0,0,10.98,4.34,0,,,,,,,,,,
20161209:0256,0,0,0,11.36,4.73,0,,,,,,,,,,
20161209:0356,0,0,0,11.74,5.12,0,,,,,,,,,,
20161209:0456,0,0,0,11.62,5.38,0,,,,,,,,,,
20161209:0556,0,0,0,11.5,5.65,0,,,,,,,,,,
20161209:0656,0,0,0,11.39,5.92,0,,,,,,,,,,
20161209:0756,0,0,0,11.18,5.86,0,,,,,,,,,,
20161209:0856,2.5,4.5,5.43,10.97,5.81,0,,,,,,,,,,
20161209:0956,286.19,515.142,10.74,10.76,5.75,0,,,,,,,,,,
20161209:1056,147.49,265.482,14.16,11.25,5.97,0,,,,,,,,,,
20161209:1156,324.77,584.586,15.4,11.75,6.18,0,,,,,,,,,,
20161209:1256,85.7,154.26,14.34,12.25,6.4,0,,,,,,,,,,
20161209:1356,7.41,13.338,11.07,12.15,6.64,0,,,,,,,,,,
20161209:1456,65.66,118.188,5.89,12.05,6.89,0,,,,,,,,,,
20161209:1556,0,0,0,11.95,7.13,0,,,,,,,,,,
20161209:1656,0,0,0,11.41,6.96,0,,,,,,,,,,
20161209:1756,0,0,0,10.88,6.79,0,,,,,,,,,,
20161209:1856,0,0,0,10.35,6.62,0,,,,,,,,,,
20161209:1956,0,0,0,10.25,6.49,0,,,,,,,,,,
20161209:2056,0,0,0,10.15,6.35,0,,,,,,,,,,
20161209:2156,0,0,0,10.05,6.22,0,,,,,,,,,,
20161209:2256,0,0,0,10.23,5.96,0,,,,,,,,,,
20161209:2356,0,0,0,10.41,5.7,0,,,,,,,,,,
20161210:0056,0,0,0,10.59,5.43,0,,,,,,,,,,
20161210:0156,0,0,0,10.39,5.08,0,,,,,,,,,,
20161210:0256,0,0,0,10.19,4.72,0,,,,,,,,,,
20161210:0356,0,0,0,10,4.36,0,,,,,,,,,,
20161210:0456,0,0,0,9.93,4.11,0,,,,,,,,,,
20161210:0556,0,0,0,9.87,3.86,0,,,,,,,,,,
20161210:0656,0,0,0,9.81,3.61,0,,,,,,,,,,
20161210:0756,0,0,0,9.88,3.43,0,,,,,,,,,,
20161210:0856,15.33,27.594,5.3,9.96,3.26,0,,,,,,,,,,
20161210:0956,8.41,15.138,10.62,10.03,3.08,0,,,,,,,,,,
20161210:1056,60.16,108.288,14.05,10.23,2.86,0,,,,,,,,,,
20161210:1156,77.52,139.536,15.31,10.42,2.63,0,,,,,,,,,,
20161210:1256,13.01,23.418,14.26,10.62,2.41,0,,,,,,,,,,
20161210:1356,5.05,9.09,11.01,10.66,2.94,0,,,,,,,,,,
20161210:1456,31.76,57.168,5.85,10.7,3.47,0,,,,,,,,,,
20161210:1556,0,0,0,10.74,4,0,,,,,,,,,,
20161210:1656,0,0,0,10.58,3.76,0,,,,,,,,,,
20161210:1756,0,0,0,10.42,3.52,0,,,,,,,,,,
20161210:1856,0,0,0,10.27,3.28,0,,,,,,,,,,
20161210:1956,0,0,0,9.93,3.7,0,,,,,,,,,,
20161210:2056,0,0,0,9.6,4.11,0,,,,,,,,,,
20161210:2156,0,0,0,9.27,4.52,0,,,,,,,,,,
20161210:2256,0,0,0,8.52,3.68,0,,,,,,,,,,
20161210:2356,0,0,0,7.78,2.84,0,,,,,,,,,,
20161211:0056,0,0,0,7.04,2,0,,,,,,,,,,
20161211:0156,0,0,0,6.38,2.87,0,,,,,,,,,,
20161211:0256,0,0,0,5.72,3.74,0,,,,,,,,,,
20161211:0356,0,0,0,5.07,4.61,0,,,,,,,,,,
20161211:0456,0,0,0,4.98,4.48,0,,,,,,,,,,
20161211:0556,0,0,0,4.89,4.35,0,,,,,,,,,,
20161211:0656,0,0,0,4.8,4.22,0,,,,,,,,,,
20161211:0756,0,0,0,4.9,4.13,0,,,,,,,,,,
20161211:0856,82.66,148.788,5.17,4.99,4.04,0,,,,,,,,,,
20161211:0956,29.02,52.236,10.5,5.09,3.94,0,,,,,,,,,,
20161211:1056,427.92,770.256,13.95,5.93,4.43,0,,,,,,,,,,
20161211:1156,223.19,401.742,15.22,6.77,4.91,0,,,,,,,,,,
20161211:1256,114.31,205.758,14.19,7.61,5.39,0,,,,,,,,,,
20161211:1356,97.48,175.464,10.96,7.49,4.72,0,,,,,,,,,,
20161211:1456,12.37,22.266,5.81,7.38,4.05,0,,,,,,,,,,
20161211:1556,0,0,0,7.27,3.38,0,,,,,,,,,,
20161211:1656,0,0,0,6.63,2.9,0,,,,,,,,,,
20161211:1756,0,0,0,5.99,2.42,0,,,,,,,,,,
20161211:1856,0,0,0,5.36,1.94,0,,,,,,,,,,
20161211:1956,0,0,0,4.95,1.78,0,,,,,,,,,,
20161211:2056,0,0,0,4.55,1.61,0,,,,,,,,,,
20161211:2156,0,0,0,4.14,1.45,0,,,,,,,,,,
20161211:2256,0,0,0,4.06,1.43,0,,,,,,,,,,
20161211:2356,0,0,0,3.98,1.41,0,,,,,,,,,,
20161212:0056,0,0,0,3.9,1.39,0,,,,,,,,,,
20161212:0156,0,0,0,3.21,1.63,0,,,,,,,,,,
20161212:0256,0,0,0,2.53,1.86,0,,,,,,,,,,
20161212:0356,0,0,0,1.84,2.1,0,,,,,,,,,,
20161212:0456,0,0,0,2.25,2.65,0,,,,,,,,,,
20161212:0556,0,0,0,2.66,3.21,0,,,,,,,,,,
20161212:0656,0,0,0,3.07,3.77,0,,,,,,,,,,
20161212:0756,0,0,0,3.68,4.04,0,,,,,,,,,,
20161212:0856,152.61,274.698,5.06,4.3,4.31,0,,,,,,,,,,
20161212:0956,8.28,14.904,10.39,4.91,4.58,0,,,,,,,,,,
20161212:1056,23.7,42.66,13.85,5.81,4.6,0,,,,,,,,,,
20161212:1156,40.84,73.512,15.14,6.71,4.63,0,,,,,,,,,,
20161212:1256,49.39,88.902,14.13,7.61,4.65,0,,,,,,,,,,
20161212:1356,5.05,9.09,10.92,8.16,4.35,0,,,,,,,,,,
20161212:1456,169.13,304.434,5.79,8.72,4.05,0,,,,,,,,,,
20161212:1556,0,0,0,9.28,3.75,0,,,,,,,,,,
20161212:1656,0,0,0,9.29,3.81,0,,,,,,,,,,
20161212:1756,0,0,0,9.3,3.87,0,,,,,,,,,,
20161212:1856,0,0,0,9.32,3.93,0,,,,,,,,,,
20161212:1956,0,0,0,9.07,3.81,0,,,,,,,,,,
20161212:2056,0,0,0,8.83,3.68,0,,,,,,,,,,
20161212:2156,0,0,0,8.59,3.56,0,,,,,,,,,,
20161212:2256,0,0,0,8.39,3.25,0,,,,,,,,,,
20161212:2356,0,0,0,8.19,2.94,0,,,,,,,,,,
