,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20161113:1156,664.03,1195.254,20.28,7.22,4.76,0,,,,,,,,,,
20161113:1256,603.9,1087.02,18.82,8.05,4.92,0,,,,,,,,,,
20161113:1356,461.75,831.15,15.08,8.01,4.26,0,,,,,,,,,,
20161113:1456,261.6,470.88,9.41,7.97,3.6,0,,,,,,,,,,
20161113:1556,9.82,17.676,2.25,7.93,2.94,0,,,,,,,,,,
20161113:1656,0,0,0,6.96,2.62,0,,,,,,,,,,
20161113:1756,0,0,0,6,2.3,0,,,,,,,,,,
20161113:1856,0,0,0,5.03,1.99,0,,,,,,,,,,
20161113:1956,0,0,0,4.93,1.75,0,,,,,,,,,,
20161113:2056,0,0,0,4.82,1.51,0,,,,,,,,,,
20161113:2156,0,0,0,4.72,1.27,0,,,,,,,,,,
20161113:2256,0,0,0,4.9,1.51,0,,,,,,,,,,
20161113:2356,0,0,0,5.08,1.76,0,,,,,,,,,,
20161114:0056,0,0,0,5.27,2,0,,,,,,,,,,
20161114:0156,0,0,0,5.58,2.41,0,,,,,,,,,,
20161114:0256,0,0,0,5.89,2.82,0,,,,,,,,,,
20161114:0356,0,0,0,6.2,3.23,0,,,,,,,,,,
20161114:0456,0,0,0,6.48,3.39,0,,,,,,,,,,
20161114:0556,0,0,0,6.76,3.56,0,,,,,,,,,,
20161114:0656,0,0,0,7.04,3.72,0,,,,,,,,,,
20161114:0756,12.88,23.184,3.51,7.53,4.03,0,,,,,,,,,,
20161114:0856,65.06,117.108,10.41,8.01,4.34,0,,,,,,,,,,
20161114:0956,28.88,51.984,15.72,8.5,4.65,0,,,,,,,,,,
20161114:1056,10.55,18.99,19.03,9.51,4.96,0,,,,,,,,,,
20161114:1156,44.57,80.226,20.02,10.51,5.27,0,,,,,,,,,,
20161114:1256,13.69,24.642,18.57,11.52,5.59,0,,,,,,,,,,
20161114:1356,45.21,81.378,14.84,11.58,5.49,0,,,,,,,,,,
20161114:1456,20.88,37.584,9.19,11.65,5.4,0,,,,,,,,,,
20161114:1556,0.82,1.476,2.05,11.72,5.31,0,,,,,,,,,,
20161114:1656,0,0,0,11.56,5.37,0,,,,,,,,,,
20161114:1756,0,0,0,11.4,5.42,0,,,,,,,,,,
20161114:1856,0,0,0,11.24,5.48,0,,,,,,,,,,
20161114:1956,0,0,0,11.23,5.39,0,,,,,,,,,,
20161114:2056,0,0,0,11.23,5.3,0,,,,,,,,,,
20161114:2156,0,0,0,11.22,5.21,0,,,,,,,,,,
20161114:2256,0,0,0,11.34,5.14,0,,,,,,,,,,
20161114:2356,0,0,0,11.47,5.07,0,,,,,,,,,,
20161115:0056,0,0,0,11.6,4.99,0,,,,,,,,,,
20161115:0156,0,0,0,11.56,5.02,0,,,,,,,,,,
20161115:0256,0,0,0,11.51,5.04,0,,,,,,,,,,
20161115:0356,0,0,0,11.47,5.06,0,,,,,,,,,,
20161115:0456,0,0,0,11.56,5.25,0,,,,,,,,,,
20161115:0556,0,0,0,11.64,5.43,0,,,,,,,,,,
20161115:0656,0,0,0,11.73,5.61,0,,,,,,,,,,
20161115:0756,144.26,259.668,3.27,11.83,5.34,0,,,,,,,,,,
20161115:0856,14.78,26.604,10.15,11.92,5.06,0,,,,,,,,,,
20161115:0956,54.26,97.668,15.46,12.02,4.79,0,,,,,,,,,,
20161115:1056,28.97,52.146,18.77,12.39,5.03,0,,,,,,,,,,
20161115:1156,11.14,20.052,19.76,12.77,5.26,0,,,,,,,,,,
20161115:1256,9.96,17.928,18.32,13.14,5.5,0,,,,,,,,,,
20161115:1356,7.23,13.014,14.61,13.23,4.74,0,,,,,,,,,,
20161115:1456,10.96,19.728,8.98,13.32,3.99,0,,,,,,,,,,
20161115:1556,1.82,3.276,1.86,13.41,3.23,0,,,,,,,,,,
20161115:1656,0,0,0,13.07,3.25,0,,,,,,,,,,
20161115:1756,0,0,0,12.73,3.27,0,,,,,,,,,,
20161115:1856,0,0,0,12.38,3.3,0,,,,,,,,,,
20161115:1956,0,0,0,12.17,3.59,0,,,,,,,,,,
20161115:2056,0,0,0,11.96,3.88,0,,,,,,,,,,
20161115:2156,0,0,0,11.75,4.17,0,,,,,,,,,,
20161115:2256,0,0,0,11.74,4.55,0,,,,,,,,,,
20161115:2356,0,0,0,11.73,4.94,0,,,,,,,,,,
20161116:0056,0,0,0,11.72,5.32,0,,,,,,,,,,
20161116:0156,0,0,0,11.49,5.67,0,,,,,,,,,,
20161116:0256,0,0,0,11.27,6.01,0,,,,,,,,,,
20161116:0356,0,0,0,11.05,6.36,0,,,,,,,,,,
20161116:0456,0,0,0,10.81,6.63,0,,,,,,,,,,
20161116:0556,0,0,0,10.58,6.89,0,,,,,,,,,,
20161116:0656,0,0,0,10.35,7.16,0,,,,,,,,,,
20161116:0756,69.07,124.326,3.03,10.1,7.17,0,,,,,,,,,,
20161116:0856,333.95,601.11,9.9,9.86,7.19,0,,,,,,,,,,
20161116:0956,520.76,937.368,15.2,9.61,7.2,0,,,,,,,,,,
20161116:1056,387.59,697.662,18.51,10.12,7.8,0,,,,,,,,,,
20161116:1156,206.01,370.818,19.5,10.63,8.4,0,,,,,,,,,,
20161116:1256,51.85,93.33,18.08,11.14,8.99,0,,,,,,,,,,
20161116:1356,61.36,110.448,14.39,11.12,8.34,0,,,,,,,,,,
20161116:1456,39.12,70.416,8.78,11.1,7.69,0,,,,,,,,,,
20161116:1556,0.64,1.152,1.67,11.09,7.03,0,,,,,,,,,,
20161116:1656,0,0,0,10.39,6.69,0,,,,,,,,,,
20161116:1756,0,0,0,9.7,6.34,0,,,,,,,,,,
20161116:1856,0,0,0,9.01,6,0,,,,,,,,,,
20161116:1956,0,0,0,8.5,5.89,0,,,,,,,,,,
20161116:2056,0,0,0,7.98,5.79,0,,,,,,,,,,
