"Latitude (decimal degrees):	51.790",,,,,,,,Date,G_i
20160703:0956,717.71,51.46,14.86,3.32,0,,,20160703:1756,186.06
20160703:1056,903.35,57.89,15.55,3.35,0,,,20160703:1856,42.46
20160703:1156,546.54,61.06,16.24,3.38,0,,,20160703:1956,15.35
20160703:1256,778.41,59.82,16.93,3.41,0,,,20160703:2056,0
20160703:1356,523.46,54.66,17.63,3.31,0,,,20160703:2156,0
20160703:1456,584.33,47.09,18.33,3.21,0,,,20160703:2256,0
20160703:1556,602.8,38.32,19.02,3.12,0,,,20160703:2356,0
20160703:1656,400.81,29.09,18.9,2.88,0,,,20160704:0056,0
20160703:1756,186.06,19.89,18.78,2.65,0,,,20160704:0156,0
20160703:1856,42.46,11.07,18.66,2.41,0,,,20160704:0256,0
20160703:1956,15.35,2.95,16.96,2.34,0,,,20160704:0356,0
20160703:2056,0,0,15.26,2.26,0,,,20160704:0456,38.66
20160703:2156,0,0,13.56,2.18,0,,,20160704:0556,161.57
20160703:2256,0,0,12.53,2.18,0,,,20160704:0656,354.17
20160703:2356,0,0,11.5,2.19,0,,,20160704:0756,552.44
20160704:0056,0,0,10.46,2.19,0,,,20160704:0856,342.53
20160704:0156,0,0,9.59,2.39,0,,,20160704:0956,611.93
20160704:0256,0,0,8.72,2.58,0,,,20160704:1056,478.28
20160704:0356,0,0,7.85,2.77,0,,,20160704:1156,644.28
20160704:0456,38.66,7.21,8.87,2.53,0,,,20160704:1256,241.33
20160704:0556,161.57,15.75,9.89,2.29,0,,,20160704:1356,199.18
20160704:0656,354.17,24.83,10.91,2.04,0,,,20160704:1456,152.32
20160704:0756,552.44,34.09,12.94,2.75,0,,,20160704:1556,295.03
20160704:0856,342.53,43.13,14.97,3.46,0,,,20160704:1656,153.85
20160704:0956,611.93,51.37,17,4.17,0,,,20160704:1756,129.83
20160704:1056,478.28,57.8,17.65,4.33,0,,,20160704:1856,47.3
20160704:1156,644.28,60.98,18.31,4.49,0,,,20160704:1956,14.69
20160704:1256,241.33,59.75,18.96,4.65,0,,,20160704:2056,0
20160704:1356,199.18,54.61,19.06,5.1,0,,,20160704:2156,0
20160704:1456,152.32,47.05,19.17,5.55,0,,,20160704:2256,0
20160704:1556,295.03,38.28,19.27,6,0,,,20160704:2356,0
20160704:1656,153.85,29.06,18.97,6.2,0,,,20160705:0056,0
20160704:1756,129.83,19.86,18.67,6.4,0,,,20160705:0156,0
20160704:1856,47.3,11.03,18.37,6.59,0,,,20160705:0256,0
20160704:1956,14.69,2.9,17.59,6.38,0,,,20160705:0356,0
20160704:2056,0,0,16.8,6.16,0,,,20160705:0456,43.69
20160704:2156,0,0,16.02,5.94,0,,,20160705:0556,89.73
20160704:2256,0,0,15.63,6.03,0,,,20160705:0656,144.37
20160704:2356,0,0,15.24,6.12,0,,,20160705:0756,149.46
20160705:0056,0,0,14.85,6.21,0,,,20160705:0856,296.41
20160705:0156,0,0,14.73,6.13,0,,,20160705:0956,444.5
20160705:0256,0,0,14.61,6.05,0,,,20160705:1056,532.43
20160705:0356,0,0,14.49,5.97,0,,,20160705:1156,386.37
20160705:0456,43.69,7.11,14.35,5.98,0,,,20160705:1256,1005.82
20160705:0556,89.73,15.66,14.2,5.99,0,,,20160705:1356,739.8
20160705:0656,144.37,24.73,14.06,6,0,,,20160705:1456,583.1
20160705:0756,149.46,33.99,14.45,6.05,0,,,20160705:1556,538.54
20160705:0856,296.41,43.04,14.84,6.09,0,,,20160705:1656,329.09
20160705:0956,444.5,51.27,15.23,6.14,0,,,20160705:1756,203.72
20160705:1056,532.43,57.7,16.03,6.07,0,,,20160705:1856,66.81
20160705:1156,386.37,60.88,16.84,6,0,,,20160705:1956,14.83
20160705:1256,1005.82,59.67,17.64,5.93,0,,,20160705:2056,0
20160705:1356,739.8,54.55,18.32,5.66,0,,,20160705:2156,0
20160705:1456,583.1,47,19,5.39,0,,,20160705:2256,0
20160705:1556,538.54,38.24,19.67,5.12,0,,,20160705:2356,0
20160705:1656,329.09,29.02,19.21,5.14,0,,,20160706:0056,0
20160705:1756,203.72,19.82,18.75,5.17,0,,,20160706:0156,0
20160705:1856,66.81,10.98,18.29,5.2,0,,,20160706:0256,0
20160705:1956,14.83,2.85,17.08,4.61,0,,,20160706:0356,0
20160705:2056,0,0,15.88,4.01,0,,,20160706:0456,42.26
20160705:2156,0,0,14.67,3.42,0,,,20160706:0556,139.64
20160705:2256,0,0,13.72,3.1,0,,,20160706:0656,228.1
20160705:2356,0,0,12.77,2.79,0,,,20160706:0756,444.21
20160706:0056,0,0,11.82,2.47,0,,,20160706:0856,596.09
20160706:0156,0,0,10.87,2.29,0,,,20160706:0956,833.98
20160706:0256,0,0,9.91,2.12,0,,,20160706:1056,972.97
20160706:0356,0,0,8.95,1.94,0,,,20160706:1156,930.12
20160706:0456,42.26,7.01,9.43,2.19,0,,,20160706:1256,822.63
20160706:0556,139.64,15.56,9.91,2.44,0,,,20160706:1356,802.98
20160706:0656,228.1,24.64,10.39,2.69,0,,,20160706:1456,636.95
20160706:0756,444.21,33.9,12.04,2.42,0,,,20160706:1556,363.67
20160706:0856,596.09,42.94,13.69,2.16,0,,,20160706:1656,211.66
20160706:0956,833.98,51.17,15.34,1.89,0,,,20160706:1756,96.59
20160706:1056,972.97,57.6,16.2,2.12,0,,,20160706:1856,25.69
20160706:1156,930.12,60.78,17.06,2.35,0,,,20160706:1956,13.74
20160706:1256,822.63,59.59,17.92,2.58,0,,,20160706:2056,0
20160706:1356,802.98,54.49,18.56,2.39,0,,,20160706:2156,0
20160706:1456,636.95,46.95,19.2,2.19,0,,,20160706:2256,0
20160706:1556,363.67,38.19,19.84,2,0,,,20160706:2356,0
20160706:1656,211.66,28.98,19.58,1.96,0,,,20160707:0056,0
20160706:1756,96.59,19.77,19.31,1.93,0,,,20160707:0156,0
20160706:1856,25.69,10.93,19.05,1.89,0,,,20160707:0256,0
20160706:1956,13.74,2.79,18.13,2.11,0,,,20160707:0356,0
20160706:2056,0,0,17.21,2.32,0,,,20160707:0456,35.63
20160706:2156,0,0,16.29,2.54,0,,,20160707:0556,82.13
20160706:2256,0,0,15.87,2.86,0,,,20160707:0656,236.72
20160706:2356,0,0,15.45,3.18,0,,,20160707:0756,321.74
20160707:0056,0,0,15.02,3.5,0,,,20160707:0856,293.85
20160707:0156,0,0,14.1,3.31,0,,,20160707:0956,603.09
20160707:0256,0,0,13.17,3.11,0,,,20160707:1056,514.91
20160707:0356,0,0,12.25,2.91,0,,,20160707:1156,623.22
20160707:0456,35.63,6.9,12.49,3.31,0,,,20160707:1256,547.94
20160707:0556,82.13,15.46,12.72,3.72,0,,,20160707:1356,582.71
20160707:0656,236.72,24.53,12.96,4.12,0,,,20160707:1456,229.95
20160707:0756,321.74,33.8,14.06,4.51,0,,,20160707:1556,161.89
20160707:0856,293.85,42.84,15.15,4.89,0,,,20160707:1656,132.73
20160707:0956,603.09,51.06,16.25,5.27,0,,,20160707:1756,95.01
20160707:1056,514.91,57.49,17.26,5.28,0,,,20160707:1856,62.19
20160707:1156,623.22,60.68,18.26,5.3,0,,,20160707:1956,13.17
20160707:1256,547.94,59.5,19.27,5.31,0,,,20160707:2056,0
20160707:1356,582.71,54.41,19.63,5.35,0,,,20160707:2156,0
20160707:1456,229.95,46.89,19.99,5.39,0,,,20160707:2256,0
20160707:1556,161.89,38.14,20.35,5.43,0,,,20160707:2356,0
20160707:1656,132.73,28.92,19.9,5.17,0,,,20160708:0056,0
20160707:1756,95.01,19.72,19.44,4.91,0,,,20160708:0156,0
20160707:1856,62.19,10.87,18.98,4.65,0,,,20160708:0256,0
20160707:1956,13.17,2.73,18.13,4.26,0,,,20160708:0356,0
20160707:2056,0,0,17.28,3.87,0,,,20160708:0456,34.02
20160707:2156,0,0,16.44,3.48,0,,,20160708:0556,95.42
20160707:2256,0,0,16.01,3.66,0,,,20160708:0656,146.31
20160707:2356,0,0,15.58,3.85,0,,,20160708:0756,242.02
20160708:0056,0,0,15.14,4.04,0,,,20160708:0856,249.74
20160708:0156,0,0,14.79,4.64,0,,,20160708:0956,414.96
20160708:0256,0,0,14.44,5.25,0,,,20160708:1056,529.15
20160708:0356,0,0,14.09,5.85,0,,,20160708:1156,539.7
20160708:0456,34.02,6.79,14.3,6.34,0,,,20160708:1256,298.57
20160708:0556,95.42,15.35,14.51,6.82,0,,,20160708:1356,180.39
20160708:0656,146.31,24.43,14.72,7.31,0,,,20160708:1456,330.07
20160708:0756,242.02,33.69,15.48,7.83,0,,,20160708:1556,582.24
20160708:0856,249.74,42.73,16.24,8.35,0,,,20160708:1656,364.15
20160708:0956,414.96,50.95,17,8.87,0,,,20160708:1756,195.4
20160708:1056,529.15,57.37,17.83,8.51,0,,,20160708:1856,41.08
20160708:1156,539.7,60.57,18.66,8.14,0,,,20160708:1956,11.99
20160708:1256,298.57,59.4,19.49,7.78,0,,,20160708:2056,0
20160708:1356,180.39,54.33,20.31,7.64,0,,,20160708:2156,0
20160708:1456,330.07,46.82,21.13,7.5,0,,,20160708:2256,0
20160708:1556,582.24,38.08,21.94,7.37,0,,,20160708:2356,0
20160708:1656,364.15,28.87,21.41,6.93,0,,,20160709:0056,0
20160708:1756,195.4,19.66,20.87,6.49,0,,,20160709:0156,0
20160708:1856,41.08,10.81,20.33,6.06,0,,,20160709:0256,0
20160708:1956,11.99,2.66,19.16,5.15,0,,,20160709:0356,0
20160708:2056,0,0,18,4.25,0,,,20160709:0456,9
20160708:2156,0,0,16.83,3.35,0,,,20160709:0556,103.45
20160708:2256,0,0,16.13,3.24,0,,,20160709:0656,68.95
20160708:2356,0,0,15.43,3.12,0,,,20160709:0756,207.66
20160709:0056,0,0,14.73,3.01,0,,,20160709:0856,275.21
20160709:0156,0,0,14.39,3.28,0,,,20160709:0956,341.23
20160709:0256,0,0,14.04,3.55,0,,,20160709:1056,403.29
20160709:0356,0,0,13.69,3.82,0,,,20160709:1156,358.46
20160709:0456,9,6.68,14.19,4.48,0,,,20160709:1256,517.88
20160709:0556,103.45,15.24,14.68,5.14,0,,,20160709:1356,578.26
20160709:0656,68.95,24.32,15.18,5.81,0,,,20160709:1456,273.43
20160709:0756,207.66,33.58,16,6.16,0,,,20160709:1556,206.35
20160709:0856,275.21,42.62,16.83,6.51,0,,,20160709:1656,147.24
20160709:0956,341.23,50.83,17.66,6.86,0,,,20160709:1756,61.91
20160709:1056,403.29,57.25,18.56,7.6,0,,,20160709:1856,30.25
20160709:1156,358.46,60.45,19.46,8.34,0,,,20160709:1956,4.88
20160709:1256,517.88,59.3,20.36,9.08,0,,,20160709:2056,0
20160709:1356,578.26,54.25,20.86,9.16,0,,,20160709:2156,0
20160709:1456,273.43,46.75,21.37,9.25,0,,,20160709:2256,0
20160709:1556,206.35,38.02,21.87,9.34,0,,,20160709:2356,0
20160709:1656,147.24,28.81,21.33,8.99,0,,,20160710:0056,0
20160709:1756,61.91,19.59,20.78,8.65,0,,,20160710:0156,0
20160709:1856,30.25,10.74,20.24,8.3,0,,,20160710:0256,0
20160709:1956,4.88,2.58,19.18,7.96,0,,,20160710:0356,0
20160709:2056,0,0,18.12,7.62,0,,,20160710:0456,32.27
20160709:2156,0,0,17.06,7.28,0,,,20160710:0556,77.81
20160709:2256,0,0,16.7,7.07,0,,,20160710:0656,134.11
20160709:2356,0,0,16.34,6.86,0,,,20160710:0756,133.05
20160710:0056,0,0,15.98,6.65,0,,,20160710:0856,289.94
20160710:0156,0,0,15.74,6.59,0,,,20160710:0956,296.25
20160710:0256,0,0,15.49,6.53,0,,,20160710:1056,256.85
20160710:0356,0,0,15.25,6.47,0,,,20160710:1156,133.14
20160710:0456,32.27,6.56,15.41,6.54,0,,,20160710:1256,489.27
20160710:0556,77.81,15.12,15.57,6.62,0,,,20160710:1356,533.81
20160710:0656,134.11,24.2,15.73,6.69,0,,,20160710:1456,332.46
20160710:0756,133.05,33.47,16.4,7.06,0,,,20160710:1556,226.55
20160710:0856,289.94,42.5,17.07,7.43,0,,,20160710:1656,52.59
20160710:0956,296.25,50.71,17.74,7.79,0,,,20160710:1756,165.17
20160710:1056,256.85,57.13,18.19,7.85,0,,,20160710:1856,57.11
20160710:1156,133.14,60.32,18.63,7.9,0,,,20160710:1956,11.09
20160710:1256,489.27,59.19,19.08,7.96,0,,,20160710:2056,0
20160710:1356,533.81,54.16,19.27,8.24,0,,,20160710:2156,0
20160710:1456,332.46,46.67,19.46,8.52,0,,,20160710:2256,0
20160710:1556,226.55,37.95,19.65,8.8,0,,,20160710:2356,0
20160710:1656,52.59,28.74,19.18,8.7,0,,,20160711:0056,0
20160710:1756,165.17,19.52,18.7,8.61,0,,,20160711:0156,0
20160710:1856,57.11,10.67,18.22,8.51,0,,,20160711:0256,0
20160710:1956,11.09,2.5,17.3,8.1,0,,,20160711:0356,0
20160710:2056,0,0,16.37,7.68,0,,,20160711:0456,35.77
20160710:2156,0,0,15.45,7.27,0,,,20160711:0556,122.42
20160710:2256,0,0,15.19,7.51,0,,,20160711:0656,177.08
20160710:2356,0,0,14.93,7.75,0,,,20160711:0756,284.89
20160711:0056,0,0,14.66,7.99,0,,,20160711:0856,516.88
20160711:0156,0,0,14.64,8.25,0,,,20160711:0956,345.2
20160711:0256,0,0,14.62,8.51,0,,,20160711:1056,554.65
20160711:0356,0,0,14.6,8.77,0,,,20160711:1156,760.01
20160711:0456,35.77,6.44,14.56,8.63,0,,,20160711:1256,823.21
20160711:0556,122.42,15,14.52,8.49,0,,,20160711:1356,897.54
20160711:0656,177.08,24.09,14.48,8.34,0,,,20160711:1456,761.32
20160711:0756,284.89,33.35,14.92,8.78,0,,,20160711:1556,579.88
20160711:0856,516.88,42.38,15.36,9.22,0,,,20160711:1656,287.92
20160711:0956,345.2,50.59,15.8,9.66,0,,,20160711:1756,183.32
20160711:1056,554.65,57,16.37,9.44,0,,,20160711:1856,62.89
20160711:1156,760.01,60.19,16.94,9.23,0,,,20160711:1956,3.03
20160711:1256,823.21,59.07,17.51,9.02,0,,,20160711:2056,0
20160711:1356,897.54,54.06,17.73,8.44,0,,,20160711:2156,0
20160711:1456,761.32,46.59,17.95,7.86,0,,,20160711:2256,0
20160711:1556,579.88,37.87,18.17,7.28,0,,,20160711:2356,0
20160711:1656,287.92,28.66,17.75,6.83,0,,,20160712:0056,0
20160711:1756,183.32,19.45,17.32,6.38,0,,,20160712:0156,0
20160711:1856,62.89,10.58,16.9,5.93,0,,,20160712:0256,0
20160711:1956,3.03,2.41,16,5.11,0,,,20160712:0356,0
20160711:2056,0,0,15.1,4.29,0,,,20160712:0456,34.21
20160711:2156,0,0,14.2,3.46,0,,,20160712:0556,93.79
20160711:2256,0,0,13.6,3.42,0,,,20160712:0656,243.85
20160711:2356,0,0,13.01,3.38,0,,,20160712:0756,136.35
20160712:0056,0,0,12.41,3.34,0,,,20160712:0856,674.04
20160712:0156,0,0,12.1,3.26,0,,,20160712:0956,277.58
20160712:0256,0,0,11.79,3.18,0,,,20160712:1056,481.64
20160712:0356,0,0,11.48,3.1,0,,,20160712:1156,377.76
20160712:0456,34.21,6.31,11.74,3.37,0,,,20160712:1256,435.03
20160712:0556,93.79,14.88,12,3.65,0,,,20160712:1356,852.95
20160712:0656,243.85,23.97,12.26,3.92,0,,,20160712:1456,354.54
20160712:0756,136.35,33.23,13.1,3.8,0,,,20160712:1556,414.21
20160712:0856,674.04,42.26,13.95,3.69,0,,,20160712:1656,218.88
20160712:0956,277.58,50.46,14.79,3.57,0,,,20160712:1756,195
20160712:1056,481.64,56.86,14.94,3.73,0,,,20160712:1856,44.29
20160712:1156,377.76,60.06,15.09,3.89,0,,,20160712:1956,11.04
20160712:1256,435.03,58.95,15.24,4.04,0,,,20160712:2056,0
20160712:1356,852.95,53.95,15.52,4.17,0,,,20160712:2156,0
20160712:1456,354.54,46.5,15.8,4.31,0,,,20160712:2256,0
20160712:1556,414.21,37.79,16.08,4.44,0,,,20160712:2356,0
20160712:1656,218.88,28.58,15.68,4.34,0,,,20160713:0056,0
20160712:1756,195,19.37,15.27,4.25,0,,,20160713:0156,0
20160712:1856,44.29,10.5,14.86,4.15,0,,,20160713:0256,0
20160712:1956,11.04,2.32,14,3.82,0,,,20160713:0356,0
20160712:2056,0,0,13.15,3.49,0,,,20160713:0456,35.01
20160712:2156,0,0,12.29,3.16,0,,,20160713:0556,146.05
20160712:2256,0,0,11.82,3.24,0,,,20160713:0656,343.4
20160712:2356,0,0,11.35,3.31,0,,,20160713:0756,543.91
20160713:0056,0,0,10.87,3.39,0,,,20160713:0856,402.01
20160713:0156,0,0,10.69,3.33,0,,,20160713:0956,387.55
20160713:0256,0,0,10.5,3.27,0,,,20160713:1056,672.33
20160713:0356,0,0,10.31,3.21,0,,,20160713:1156,372.41
20160713:0456,35.01,6.18,10.57,3.49,0,,,20160713:1256,994.75
20160713:0556,146.05,14.75,10.83,3.77,0,,,20160713:1356,128.43
20160713:0656,343.4,23.84,11.1,4.04,0,,,20160713:1456,188.06
20160713:0756,543.91,33.1,12.26,4.18,0,,,20160713:1556,132.8
20160713:0856,402.01,42.13,13.43,4.33,0,,,20160713:1656,302.08
20160713:0956,387.55,50.32,14.59,4.47,0,,,20160713:1756,167.84
20160713:1056,672.33,56.72,15.38,4.9,0,,,20160713:1856,23.06
20160713:1156,372.41,59.91,16.17,5.33,0,,,20160713:1956,8.58
20160713:1256,994.75,58.82,16.96,5.77,0,,,20160713:2056,0
20160713:1356,128.43,53.84,16.65,5.64,0,,,20160713:2156,0
20160713:1456,188.06,46.4,16.34,5.51,0,,,20160713:2256,0
20160713:1556,132.8,37.7,16.02,5.38,0,,,20160713:2356,0
20160713:1656,302.08,28.5,15.82,5.4,0,,,20160714:0056,0
20160713:1756,167.84,19.28,15.61,5.42,0,,,20160714:0156,0
20160713:1856,23.06,10.4,15.4,5.43,0,,,20160714:0256,0
20160713:1956,8.58,2.22,14.47,4.86,0,,,20160714:0356,0
20160713:2056,0,0,13.54,4.29,0,,,20160714:0456,33.02
20160713:2156,0,0,12.61,3.71,0,,,20160714:0556,147.58
20160713:2256,0,0,12.06,3.57,0,,,20160714:0656,340.65
20160713:2356,0,0,11.51,3.43,0,,,20160714:0756,546.99
20160714:0056,0,0,10.96,3.3,0,,,20160714:0856,735.53
20160714:0156,0,0,10.56,3.31,0,,,20160714:0956,563.86
20160714:0256,0,0,10.15,3.32,0,,,20160714:1056,598.05
20160714:0356,0,0,9.74,3.34,0,,,20160714:1156,785.46
20160714:0456,33.02,6.04,10.06,3.65,0,,,20160714:1256,676.35
20160714:0556,147.58,14.62,10.38,3.95,0,,,20160714:1356,551.29
20160714:0656,340.65,23.71,10.7,4.26,0,,,20160714:1456,523.77
20160714:0756,546.99,32.97,12.21,4.34,0,,,20160714:1556,243.79
20160714:0856,735.53,42,13.72,4.41,0,,,20160714:1656,340.39
20160714:0956,563.86,50.18,15.23,4.48,0,,,20160714:1756,181.69
20160714:1056,598.05,56.57,16.1,4.25,0,,,20160714:1856,67.52
20160714:1156,785.46,59.77,16.96,4.01,0,,,20160714:1956,6.16
20160714:1256,676.35,58.68,17.83,3.78,0,,,20160714:2056,0
20160714:1356,551.29,53.73,18.05,3.84,0,,,20160714:2156,0
20160714:1456,523.77,46.3,18.27,3.9,0,,,20160714:2256,0
20160714:1556,243.79,37.61,18.48,3.96,0,,,20160714:2356,0
20160714:1656,340.39,28.41,18.28,3.51,0,,,20160715:0056,0
20160714:1756,181.69,19.18,18.08,3.07,0,,,20160715:0156,0
20160714:1856,67.52,10.31,17.88,2.62,0,,,20160715:0256,0
20160714:1956,6.16,2.11,16.75,2.63,0,,,20160715:0356,0
20160714:2056,0,0,15.62,2.63,0,,,20160715:0456,33.12
20160714:2156,0,0,14.5,2.63,0,,,20160715:0556,121.14
20160714:2256,0,0,13.78,2.71,0,,,20160715:0656,251.99
20160714:2356,0,0,13.06,2.78,0,,,20160715:0756,381.81
20160715:0056,0,0,12.33,2.86,0,,,20160715:0856,403.79
20160715:0156,0,0,11.55,2.52,0,,,20160715:0956,383.17
20160715:0256,0,0,10.76,2.18,0,,,20160715:1056,268.63
20160715:0356,0,0,9.98,1.85,0,,,20160715:1156,254.11
20160715:0456,33.12,5.91,10.51,2.32,0,,,20160715:1256,294.21
20160715:0556,121.14,14.49,11.04,2.79,0,,,20160715:1356,201.66
20160715:0656,251.99,23.58,11.58,3.26,0,,,20160715:1456,206.5
20160715:0756,381.81,32.84,12.64,3.7,0,,,20160715:1556,130.18
20160715:0856,403.79,41.86,13.69,4.14,0,,,20160715:1656,215.9
20160715:0956,383.17,50.04,14.75,4.58,0,,,20160715:1756,52.68
20160715:1056,268.63,56.42,15.43,5.03,0,,,20160715:1856,26.25
20160715:1156,254.11,59.61,16.1,5.49,0,,,20160715:1956,9.86
20160715:1256,294.21,58.54,16.78,5.94,0,,,20160715:2056,0
20160715:1356,201.66,53.6,17,6.26,0,,,20160715:2156,0
20160715:1456,206.5,46.19,17.22,6.58,0,,,20160715:2256,0
20160715:1556,130.18,37.51,17.44,6.9,0,,,20160715:2356,0
20160715:1656,215.9,28.31,17.56,6.66,0,,,20160716:0056,0
20160715:1756,52.68,19.09,17.67,6.42,0,,,20160716:0156,0
20160715:1856,26.25,10.2,17.78,6.18,0,,,20160716:0256,0
20160715:1956,9.86,1.99,17.36,5.79,0,,,20160716:0356,0
20160715:2056,0,0,16.94,5.4,0,,,20160716:0456,30.61
20160715:2156,0,0,16.53,5.01,0,,,20160716:0556,69.56
20160715:2256,0,0,16.11,4.97,0,,,20160716:0656,215.05
20160715:2356,0,0,15.69,4.94,0,,,20160716:0756,309.75
20160716:0056,0,0,15.27,4.91,0,,,20160716:0856,348.18
20160716:0156,0,0,15.11,4.98,0,,,20160716:0956,418.47
20160716:0256,0,0,14.94,5.05,0,,,20160716:1056,949.45
20160716:0356,0,0,14.77,5.12,0,,,20160716:1156,781.83
20160716:0456,30.61,5.76,15.09,5.29,0,,,20160716:1256,715.43
20160716:0556,69.56,14.35,15.41,5.46,0,,,20160716:1356,558.67
20160716:0656,215.05,23.45,15.74,5.63,0,,,20160716:1456,435.69
20160716:0756,309.75,32.71,16.69,5.83,0,,,20160716:1556,374.25
20160716:0856,348.18,41.72,17.65,6.03,0,,,20160716:1656,172.2
20160716:0956,418.47,49.89,18.61,6.23,0,,,20160716:1756,127.56
20160716:1056,949.45,56.26,19.43,6.32,0,,,20160716:1856,61.22
20160716:1156,781.83,59.45,20.25,6.4,0,,,20160716:1956,9.48
20160716:1256,715.43,58.39,21.07,6.48,0,,,20160716:2056,0
20160716:1356,558.67,53.47,21.67,6.57,0,,,20160716:2156,0
20160716:1456,435.69,46.07,22.27,6.66,0,,,20160716:2256,0
20160716:1556,374.25,37.4,22.87,6.74,0,,,20160716:2356,0
20160716:1656,172.2,28.21,22.55,6.52,0,,,20160717:0056,0
20160716:1756,127.56,18.98,22.23,6.3,0,,,20160717:0156,0
20160716:1856,61.22,10.09,21.91,6.08,0,,,20160717:0256,0
20160716:1956,9.48,1.88,20.84,5.33,0,,,20160717:0356,0
20160716:2056,0,0,19.77,4.57,0,,,20160717:0456,29.71
20160716:2156,0,0,18.7,3.82,0,,,20160717:0556,85.45
20160716:2256,0,0,18.02,3.45,0,,,20160717:0656,223.6
20160716:2356,0,0,17.34,3.09,0,,,20160717:0756,244.03
20160717:0056,0,0,16.65,2.72,0,,,20160717:0856,549.68
20160717:0156,0,0,16.3,2.98,0,,,20160717:0956,536.59
20160717:0256,0,0,15.95,3.25,0,,,20160717:1056,579.5
20160717:0356,0,0,15.6,3.52,0,,,20160717:1156,698.59
20160717:0456,29.71,5.62,15.79,3.84,0,,,20160717:1256,962.01
20160717:0556,85.45,14.21,15.97,4.17,0,,,20160717:1356,804.64
20160717:0656,223.6,23.31,16.16,4.5,0,,,20160717:1456,744.83
20160717:0756,244.03,32.57,17.16,4.67,0,,,20160717:1556,571.05
20160717:0856,549.68,41.58,18.15,4.85,0,,,20160717:1656,383.65
20160717:0956,536.59,49.74,19.15,5.02,0,,,20160717:1756,189.55
20160717:1056,579.5,56.1,20.01,5.2,0,,,20160717:1856,49.51
20160717:1156,698.59,59.28,20.86,5.39,0,,,20160717:1956,7.06
20160717:1256,962.01,58.23,21.72,5.57,0,,,20160717:2056,0
20160717:1356,804.64,53.33,22.4,5.59,0,,,20160717:2156,0
20160717:1456,744.83,45.95,23.09,5.61,0,,,20160717:2256,0
20160717:1556,571.05,37.29,23.77,5.63,0,,,20160717:2356,0
20160717:1656,383.65,28.1,23.48,5.17,0,,,20160718:0056,0
20160717:1756,189.55,18.87,23.19,4.72,0,,,20160718:0156,0
20160717:1856,49.51,9.97,22.9,4.26,0,,,20160718:0256,0
20160717:1956,7.06,1.75,21.54,3.59,0,,,20160718:0356,0
20160717:2056,0,0,20.17,2.92,0,,,20160718:0456,29.38
20160717:2156,0,0,18.81,2.25,0,,,20160718:0556,19.81
20160717:2256,0,0,17.88,2.08,0,,,20160718:0656,126.63
20160717:2356,0,0,16.96,1.92,0,,,20160718:0756,205.77
20160718:0056,0,0,16.03,1.75,0,,,20160718:0856,476.54
20160718:0156,0,0,15.32,1.79,0,,,20160718:0956,802.8
20160718:0256,0,0,14.6,1.83,0,,,20160718:1056,952.64
20160718:0356,0,0,13.89,1.86,0,,,20160718:1156,963.16
20160718:0456,29.38,5.47,14.3,1.65,0,,,20160718:1256,973.86
20160718:0556,19.81,14.06,14.7,1.44,0,,,20160718:1356,885.83
20160718:0656,126.63,23.16,15.11,1.23,0,,,20160718:1456,750.07
20160718:0756,205.77,32.43,16.73,1.13,0,,,20160718:1556,574.89
20160718:0856,476.54,41.43,18.35,1.03,0,,,20160718:1656,378.86
20160718:0956,802.8,49.59,19.97,0.94,0,,,20160718:1756,186.49
20160718:1056,952.64,55.93,21.47,0.9,0,,,20160718:1856,48.71
20160718:1156,963.16,59.11,22.97,0.86,0,,,20160718:1956,6.11
20160718:1256,973.86,58.07,24.47,0.83,0,,,20160718:2056,0
20160718:1356,885.83,53.19,25.05,0.97,0,,,20160718:2156,0
20160718:1456,750.07,45.83,25.63,1.12,0,,,20160718:2256,0
20160718:1556,574.89,37.17,26.2,1.27,0,,,20160718:2356,0
20160718:1656,378.86,27.98,25.98,1.4,0,,,20160719:0056,0
20160718:1756,186.49,18.75,25.75,1.54,0,,,20160719:0156,0
20160718:1856,48.71,9.85,25.52,1.67,0,,,20160719:0256,0
20160718:1956,6.11,1.62,23.54,2,0,,,20160719:0356,0
20160718:2056,0,0,21.57,2.34,0,,,20160719:0456,28.86
20160718:2156,0,0,19.59,2.68,0,,,20160719:0556,136.46
20160718:2256,0,0,18.75,2.58,0,,,20160719:0656,326.07
20160718:2356,0,0,17.91,2.48,0,,,20160719:0756,523.99
20160719:0056,0,0,17.06,2.39,0,,,20160719:0856,709.55
20160719:0156,0,0,16.53,2.31,0,,,20160719:0956,859.55
20160719:0256,0,0,15.99,2.24,0,,,20160719:1056,949.31
20160719:0356,0,0,15.45,2.17,0,,,20160719:1156,989.31
20160719:0456,28.86,5.31,16.09,2.66,0,,,20160719:1256,966.65
20160719:0556,136.46,13.91,16.73,3.16,0,,,20160719:1356,884.43
20160719:0656,326.07,23.02,17.37,3.66,0,,,20160719:1456,748.64
20160719:0756,523.99,32.28,19.61,3.8,0,,,20160719:1556,573.44
20160719:0856,709.55,41.28,21.85,3.95,0,,,20160719:1656,378.4
20160719:0956,859.55,49.43,24.09,4.1,0,,,20160719:1756,185.58
20160719:1056,949.31,55.76,25.47,4.4,0,,,20160719:1856,48.19
20160719:1156,989.31,58.93,26.86,4.7,0,,,20160719:1956,5.26
20160719:1256,966.65,57.9,28.24,5.01,0,,,20160719:2056,0
20160719:1356,884.43,53.04,28.66,5.46,0,,,20160719:2156,0
