"Latitude (decimal degrees):	51.790",,,,,,,,Date,G_i
20160112:1856,0,0,3.88,9.21,0,,,20160113:0256,0
20160112:1956,0,0,3.76,9.21,0,,,20160113:0356,0
20160112:2056,0,0,3.65,9.21,0,,,20160113:0456,0
20160112:2156,0,0,3.54,9.21,0,,,20160113:0556,0
20160112:2256,0,0,3.48,9.04,0,,,20160113:0656,0
20160112:2356,0,0,3.43,8.86,0,,,20160113:0756,0
20160113:0056,0,0,3.37,8.69,0,,,20160113:0856,28.65
20160113:0156,0,0,2.92,8,0,,,20160113:0956,56.4
20160113:0256,0,0,2.47,7.3,0,,,20160113:1056,272.23
20160113:0356,0,0,2.02,6.61,0,,,20160113:1156,423.95
20160113:0456,0,0,1.72,6.17,0,,,20160113:1256,403.63
20160113:0556,0,0,1.41,5.74,0,,,20160113:1356,201.23
20160113:0656,0,0,1.11,5.31,0,,,20160113:1456,111.55
20160113:0756,0,0,0.85,4.8,0,,,20160113:1556,13.01
20160113:0856,28.65,4.94,0.6,4.29,0,,,20160113:1656,0
20160113:0956,56.4,10.75,0.34,3.78,0,,,20160113:1756,0
20160113:1056,272.23,14.76,1.55,4.02,0,,,20160113:1856,0
20160113:1156,423.95,16.62,2.75,4.26,0,,,20160113:1956,0
20160113:1256,403.63,16.14,3.96,4.5,0,,,20160113:2056,0
20160113:1356,201.23,13.39,4.02,4.64,0,,,20160113:2156,0
20160113:1456,111.55,8.61,4.08,4.78,0,,,20160113:2256,0
20160113:1556,13.01,2.18,4.14,4.92,0,,,20160113:2356,0
20160113:1656,0,0,3.78,5.03,0,,,20160114:0056,0
20160113:1756,0,0,3.43,5.14,0,,,20160114:0156,0
20160113:1856,0,0,3.07,5.26,0,,,20160114:0256,0
20160113:1956,0,0,3.11,5.54,0,,,20160114:0356,0
20160113:2056,0,0,3.16,5.83,0,,,20160114:0456,0
20160113:2156,0,0,3.21,6.12,0,,,20160114:0556,0
20160113:2256,0,0,3.23,6.06,0,,,20160114:0656,0
20160113:2356,0,0,3.26,6,0,,,20160114:0756,0
20160114:0056,0,0,3.29,5.94,0,,,20160114:0856,87.5
20160114:0156,0,0,3.06,5.86,0,,,20160114:0956,60.28
20160114:0256,0,0,2.82,5.77,0,,,20160114:1056,84.32
20160114:0356,0,0,2.58,5.68,0,,,20160114:1156,76.31
20160114:0456,0,0,2.19,5.71,0,,,20160114:1256,303.2
20160114:0556,0,0,1.81,5.74,0,,,20160114:1356,239.91
20160114:0656,0,0,1.42,5.77,0,,,20160114:1456,244.88
20160114:0756,0,0,1.33,5.87,0,,,20160114:1556,47.12
20160114:0856,87.5,5.05,1.23,5.97,0,,,20160114:1656,0
20160114:0956,60.28,10.89,1.14,6.07,0,,,20160114:1756,0
20160114:1056,84.32,14.91,1.79,7.06,0,,,20160114:1856,0
20160114:1156,76.31,16.79,2.44,8.05,0,,,20160114:1956,0
20160114:1256,303.2,16.33,3.09,9.03,0,,,20160114:2056,0
20160114:1356,239.91,13.58,3.04,9,0,,,20160114:2156,0
20160114:1456,244.88,8.8,2.99,8.97,0,,,20160114:2256,0
20160114:1556,47.12,2.37,2.94,8.94,0,,,20160114:2356,0
20160114:1656,0,0,2.44,8.6,0,,,20160115:0056,0
20160114:1756,0,0,1.95,8.27,0,,,20160115:0156,0
20160114:1856,0,0,1.45,7.93,0,,,20160115:0256,0
20160114:1956,0,0,1.33,7.71,0,,,20160115:0356,0
20160114:2056,0,0,1.21,7.49,0,,,20160115:0456,0
20160114:2156,0,0,1.1,7.27,0,,,20160115:0556,0
20160114:2256,0,0,0.96,7.04,0,,,20160115:0656,0
20160114:2356,0,0,0.82,6.81,0,,,20160115:0756,0
20160115:0056,0,0,0.68,6.58,0,,,20160115:0856,135.38
20160115:0156,0,0,0.45,6.48,0,,,20160115:0956,139.4
20160115:0256,0,0,0.22,6.39,0,,,20160115:1056,380.57
20160115:0356,0,0,-0.02,6.29,0,,,20160115:1156,498.09
20160115:0456,0,0,-0.06,6.24,0,,,20160115:1256,479.07
20160115:0556,0,0,-0.11,6.2,0,,,20160115:1356,269.64
20160115:0656,0,0,-0.15,6.15,0,,,20160115:1456,241.79
20160115:0756,0,0,-0.14,6.17,0,,,20160115:1556,47.5
20160115:0856,135.38,5.17,-0.14,6.2,0,,,20160115:1656,0
20160115:0956,139.4,11.02,-0.13,6.22,0,,,20160115:1756,0
20160115:1056,380.57,15.07,0.84,6.78,0,,,20160115:1856,0
20160115:1156,498.09,16.96,1.81,7.34,0,,,20160115:1956,0
20160115:1256,479.07,16.52,2.78,7.9,0,,,20160115:2056,0
20160115:1356,269.64,13.78,2.91,7.3,0,,,20160115:2156,0
20160115:1456,241.79,9,3.05,6.69,0,,,20160115:2256,0
20160115:1556,47.5,2.57,3.18,6.08,0,,,20160115:2356,0
20160115:1656,0,0,2.38,5.58,0,,,20160116:0056,0
20160115:1756,0,0,1.57,5.07,0,,,20160116:0156,0
20160115:1856,0,0,0.77,4.57,0,,,20160116:0256,0
20160115:1956,0,0,0.51,4.53,0,,,20160116:0356,0
20160115:2056,0,0,0.26,4.49,0,,,20160116:0456,0
20160115:2156,0,0,0.01,4.46,0,,,20160116:0556,0
20160115:2256,0,0,-0.05,4.47,0,,,20160116:0656,0
20160115:2356,0,0,-0.11,4.49,0,,,20160116:0756,0
20160116:0056,0,0,-0.17,4.51,0,,,20160116:0856,134.8
20160116:0156,0,0,-0.48,4.28,0,,,20160116:0956,325
20160116:0256,0,0,-0.8,4.05,0,,,20160116:1056,376.51
20160116:0356,0,0,-1.12,3.82,0,,,20160116:1156,138.97
20160116:0456,0,0,-1.49,3.72,0,,,20160116:1256,327.29
20160116:0556,0,0,-1.87,3.62,0,,,20160116:1356,325.76
20160116:0656,0,0,-2.24,3.52,0,,,20160116:1456,160.66
20160116:0756,0,0,-2.42,3.19,0,,,20160116:1556,48.77
20160116:0856,134.8,5.3,-2.59,2.86,0,,,20160116:1656,0
20160116:0956,325,11.17,-2.77,2.54,0,,,20160116:1756,0
20160116:1056,376.51,15.23,-1.42,2.52,0,,,20160116:1856,0
20160116:1156,138.97,17.14,-0.07,2.5,0,,,20160116:1956,0
20160116:1256,327.29,16.71,1.28,2.48,0,,,20160116:2056,0
20160116:1356,325.76,13.98,1.55,2.4,0,,,20160116:2156,0
20160116:1456,160.66,9.21,1.82,2.33,0,,,20160116:2256,0
20160116:1556,48.77,2.77,2.09,2.25,0,,,20160116:2356,0
20160116:1656,0,0,1.34,2.05,0,,,20160117:0056,0
20160116:1756,0,0,0.58,1.85,0,,,20160117:0156,0
20160116:1856,0,0,-0.17,1.66,0,,,20160117:0256,0
20160116:1956,0,0,0.12,1.97,0,,,20160117:0356,0
20160116:2056,0,0,0.41,2.28,0,,,20160117:0456,0
20160116:2156,0,0,0.71,2.59,0,,,20160117:0556,0
20160116:2256,0,0,1.02,2.51,0,,,20160117:0656,0
20160116:2356,0,0,1.33,2.43,0,,,20160117:0756,0
20160117:0056,0,0,1.64,2.34,0,,,20160117:0856,96.25
20160117:0156,0,0,1.27,2.1,0,,,20160117:0956,54.19
20160117:0256,0,0,0.9,1.85,0,,,20160117:1056,80.25
20160117:0356,0,0,0.52,1.6,0,,,20160117:1156,97.22
20160117:0456,0,0,0.38,2,0,,,20160117:1256,75.96
20160117:0556,0,0,0.23,2.4,0,,,20160117:1356,101.71
20160117:0656,0,0,0.08,2.8,0,,,20160117:1456,66.58
20160117:0756,0,0,-0.05,3.23,0,,,20160117:1556,73.77
20160117:0856,96.25,5.43,-0.18,3.66,0,,,20160117:1656,0
20160117:0956,54.19,11.32,-0.31,4.08,0,,,20160117:1756,0
20160117:1056,80.25,15.41,0.39,4.3,0,,,20160117:1856,0
20160117:1156,97.22,17.33,1.09,4.52,0,,,20160117:1956,0
20160117:1256,75.96,16.91,1.79,4.74,0,,,20160117:2056,0
20160117:1356,101.71,14.19,1.88,4.96,0,,,20160117:2156,0
20160117:1456,66.58,9.42,1.97,5.17,0,,,20160117:2256,0
20160117:1556,73.77,2.98,2.06,5.38,0,,,20160117:2356,0
20160117:1656,0,0,2.03,5.55,0,,,20160118:0056,0
20160117:1756,0,0,2,5.73,0,,,20160118:0156,0
20160117:1856,0,0,1.97,5.9,0,,,20160118:0256,0
