"Latitude (decimal degrees):	51.790",,,,,,,,Date,G_i (kW/m),Electric car demand (kWh),Electric bus demand (kWh)
20130222:2156,0,0,-2.37,3.96,0,,,,,,
20130222:2256,0,0,-2.4,3.89,0,,,,,,
20130222:2356,0,0,-2.44,3.83,0,,,,,,
20130223:0056,0,0,-2.47,3.77,0,,,,,,
20130223:0156,0,0,-2.58,3.54,0,,,,,,
20130223:0256,0,0,-2.68,3.31,0,,,,,,
20130223:0356,0,0,-2.79,3.08,0,,,,,,
20130223:0456,0,0,-2.82,3.2,0,,,,,,
20130223:0556,0,0,-2.85,3.31,0,,,,,,
20130223:0656,0,0,-2.88,3.43,0,,,,,,
20130223:0756,67.71,6.6,-2.37,3.6,0,,,,,,
20130223:0856,170.97,14.5,-1.87,3.76,0,,,,,,
20130223:0956,139.3,21.08,-1.37,3.92,0,,,,,,
20130223:1056,183.77,25.8,-0.57,4.39,0,,,,,,
20130223:1156,240.37,28.17,0.23,4.86,0,,,,,,
20130223:1256,142.09,27.88,1.03,5.32,0,,,,,,
20130223:1356,62.49,24.96,1.26,5.01,0,,,,,,
20130223:1456,101.69,19.79,1.5,4.7,0,,,,,,
20130223:1556,106.62,12.88,1.74,4.39,0,,,,,,
20130223:1656,62.91,4.76,1,3.77,0,,,,,,
20130223:1756,0,0,0.26,3.15,0,,,,,,
20130223:1856,0,0,-0.48,2.54,0,,,,,,
20130223:1956,0,0,-0.9,2.63,0,,,,,,
20130223:2056,0,0,-1.33,2.73,0,,,,,,
20130223:2156,0,0,-1.75,2.83,0,,,,,,
20130223:2256,0,0,-1.94,2.82,0,,,,,,
20130223:2356,0,0,-2.13,2.82,0,,,,,,
20130224:0056,0,0,-2.32,2.81,0,,,,,,
20130224:0156,0,0,-2.32,3.07,0,,,,,,
20130224:0256,0,0,-2.32,3.32,0,,,,,,
20130224:0356,0,0,-2.32,3.57,0,,,,,,
20130224:0456,0,0,-2.19,3.78,0,,,,,,
20130224:0556,0,0,-2.07,3.99,0,,,,,,
20130224:0656,0,0,-1.95,4.19,0,,,,,,
20130224:0756,39.68,6.92,-1.58,4.92,0,,,,,,
20130224:0856,64.68,14.84,-1.22,5.65,0,,,,,,
20130224:0956,74.92,21.43,-0.86,6.37,0,,,,,,
20130224:1056,128.62,26.17,0.17,6.01,0,,,,,,
20130224:1156,148.64,28.54,1.2,5.65,0,,,,,,
20130224:1256,143.8,28.24,2.23,5.28,0,,,,,,
20130224:1356,134.05,25.31,2.37,5.68,0,,,,,,
20130224:1456,64.19,20.11,2.52,6.08,0,,,,,,
20130224:1556,62.68,13.18,2.66,6.48,0,,,,,,
20130224:1656,24.12,5.04,1.98,5.51,0,,,,,,
20130224:1756,0,0,1.29,4.54,0,,,,,,
20130224:1856,0,0,0.61,3.57,0,,,,,,
20130224:1956,0,0,-0.13,3.81,0,,,,,,
20130224:2056,0,0,-0.86,4.05,0,,,,,,
20130224:2156,0,0,-1.6,4.29,0,,,,,,
20130224:2256,0,0,-1.58,4.23,0,,,,,,
20130224:2356,0,0,-1.57,4.18,0,,,,,,
20130225:0056,0,0,-1.55,4.12,0,,,,,,
20130225:0156,0,0,-1.35,4.47,0,,,,,,
20130225:0256,0,0,-1.16,4.81,0,,,,,,
20130225:0356,0,0,-0.96,5.16,0,,,,,,
20130225:0456,0,0,-0.62,5.02,0,,,,,,
20130225:0556,0,0,-0.28,4.87,0,,,,,,
20130225:0656,0,0,0.05,4.73,0,,,,,,
20130225:0756,36.45,7.25,0.66,4.59,0,,,,,,
20130225:0856,59.05,15.18,1.27,4.45,0,,,,,,
20130225:0956,85.17,21.79,1.88,4.3,0,,,,,,
20130225:1056,150.74,26.54,2.6,4.62,0,,,,,,
20130225:1156,117.46,28.91,3.32,4.94,0,,,,,,
20130225:1256,120.03,28.6,4.04,5.26,0,,,,,,
20130225:1356,99.06,25.65,4.19,5.48,0,,,,,,
20130225:1456,55.11,20.44,4.35,5.7,0,,,,,,
20130225:1556,59.96,13.48,4.5,5.92,0,,,,,,
20130225:1656,22.87,5.32,4.04,5.68,0,,,,,,
20130225:1756,0,0,3.58,5.45,0,,,,,,
20130225:1856,0,0,3.12,5.21,0,,,,,,
20130225:1956,0,0,2.78,5.37,0,,,,,,
20130225:2056,0,0,2.44,5.54,0,,,,,,
20130225:2156,0,0,2.1,5.7,0,,,,,,
20130225:2256,0,0,1.95,5.81,0,,,,,,
20130225:2356,0,0,1.8,5.92,0,,,,,,
20130226:0056,0,0,1.65,6.03,0,,,,,,
20130226:0156,0,0,1.46,5.83,0,,,,,,
20130226:0256,0,0,1.27,5.62,0,,,,,,
20130226:0356,0,0,1.08,5.42,0,,,,,,
20130226:0456,0,0,1.11,5.47,0,,,,,,
20130226:0556,0,0,1.13,5.51,0,,,,,,
20130226:0656,0,0,1.15,5.56,0,,,,,,
20130226:0756,24.08,7.57,1.51,5.58,0,,,,,,
20130226:0856,46.08,15.52,1.87,5.6,0,,,,,,
20130226:0956,53.51,22.14,2.22,5.61,0,,,,,,
20130226:1056,70.12,26.91,2.96,5.47,0,,,,,,
20130226:1156,67.69,29.29,3.7,5.33,0,,,,,,
20130226:1256,108.91,28.97,4.44,5.19,0,,,,,,
20130226:1356,97.79,26,4.67,4.91,0,,,,,,
20130226:1456,56.23,20.76,4.91,4.64,0,,,,,,
20130226:1556,41.71,13.78,5.14,4.37,0,,,,,,
20130226:1656,86.59,5.61,4.68,4.33,0,,,,,,
20130226:1756,0,0,4.21,4.28,0,,,,,,
20130226:1856,0,0,3.75,4.23,0,,,,,,
20130226:1956,0,0,3.39,4.27,0,,,,,,
20130226:2056,0,0,3.02,4.3,0,,,,,,
20130226:2156,0,0,2.66,4.33,0,,,,,,
20130226:2256,0,0,2.55,4.43,0,,,,,,
20130226:2356,0,0,2.44,4.52,0,,,,,,
20130227:0056,0,0,2.34,4.62,0,,,,,,
20130227:0156,0,0,2.04,4.43,0,,,,,,
20130227:0256,0,0,1.75,4.24,0,,,,,,
20130227:0356,0,0,1.45,4.06,0,,,,,,
20130227:0456,0,0,1.24,3.97,0,,,,,,
20130227:0556,0,0,1.03,3.88,0,,,,,,
20130227:0656,0,0,0.82,3.79,0,,,,,,
20130227:0756,51.82,7.9,0.92,4.06,0,,,,,,
20130227:0856,63.56,15.86,1.02,4.34,0,,,,,,
20130227:0956,87.55,22.51,1.11,4.61,0,,,,,,
20130227:1056,115.47,27.28,1.85,4.73,0,,,,,,
20130227:1156,130.96,29.66,2.59,4.85,0,,,,,,
20130227:1256,162.97,29.34,3.33,4.97,0,,,,,,
20130227:1356,237.25,26.35,3.71,4.95,0,,,,,,
20130227:1456,504.91,21.09,4.09,4.93,0,,,,,,
20130227:1556,310.76,14.09,4.47,4.91,0,,,,,,
20130227:1656,102.52,5.89,3.73,4.69,0,,,,,,
20130227:1756,0,0,2.98,4.46,0,,,,,,
20130227:1856,0,0,2.24,4.23,0,,,,,,
20130227:1956,0,0,1.69,4.17,0,,,,,,
20130227:2056,0,0,1.15,4.1,0,,,,,,
20130227:2156,0,0,0.6,4.03,0,,,,,,
20130227:2256,0,0,0.49,4.09,0,,,,,,
20130227:2356,0,0,0.37,4.15,0,,,,,,
20130228:0056,0,0,0.26,4.21,0,,,,,,
20130228:0156,0,0,0.46,4,0,,,,,,
20130228:0256,0,0,0.67,3.78,0,,,,,,
20130228:0356,0,0,0.87,3.57,0,,,,,,
20130228:0456,0,0,0.58,3.52,0,,,,,,
20130228:0556,0,0,0.28,3.46,0,,,,,,
20130228:0656,0,-0.56,-0.02,3.41,0,,,,,,
20130228:0756,53.34,8.24,0.37,3.69,0,,,,,,
20130228:0856,92.83,16.21,0.75,3.98,0,,,,,,
20130228:0956,139.57,22.87,1.13,4.26,0,,,,,,
20130228:1056,279.88,27.66,2.42,4.63,0,,,,,,
20130228:1156,525.86,30.04,3.71,4.99,0,,,,,,
20130228:1256,439.98,29.71,5,5.35,0,,,,,,
20130228:1356,449.67,26.7,5.58,5.54,0,,,,,,
20130228:1456,460.6,21.41,6.17,5.73,0,,,,,,
20130228:1556,251.6,14.39,6.75,5.92,0,,,,,,
20130228:1656,77.13,6.17,5.72,5.42,0,,,,,,
20130228:1756,0,0,4.7,4.92,0,,,,,,
20130228:1856,0,0,3.67,4.43,0,,,,,,
20130228:1956,0,0,2.87,4.36,0,,,,,,
20130228:2056,0,0,2.06,4.29,0,,,,,,
20130228:2156,0,0,1.26,4.22,0,,,,,,
20130228:2256,0,0,1.13,4.2,0,,,,,,
20130228:2356,0,0,1,4.18,0,,,,,,
20130301:0056,0,0,0.88,4.17,0,,,,,,
20130301:0156,0,0,1.23,3.73,0,,,,,,
20130301:0256,0,0,1.58,3.3,0,,,,,,
20130301:0356,0,0,1.93,2.87,0,,,,,,
20130301:0456,0,0,2.08,3.28,0,,,,,,
20130301:0556,0,0,2.24,3.69,0,,,,,,
20130301:0656,0,-0.23,2.39,4.1,0,,,,,,
20130301:0756,45.77,8.57,2.72,4.74,0,,,,,,
20130301:0856,103.89,16.56,3.06,5.37,0,,,,,,
20130301:0956,142.98,23.24,3.39,6.01,0,,,,,,
20130301:1056,182.46,28.03,3.86,5.89,0,,,,,,
20130301:1156,212.3,30.43,4.32,5.77,0,,,,,,
20130301:1256,193.21,30.08,4.79,5.66,0,,,,,,
20130301:1356,190.41,27.05,5.06,5.49,0,,,,,,
20130301:1456,115.22,21.74,5.34,5.32,0,,,,,,
20130301:1556,80.18,14.69,5.61,5.16,0,,,,,,
20130301:1656,46.87,6.46,4.88,4.74,0,,,,,,
20130301:1756,0,0,4.14,4.33,0,,,,,,
20130301:1856,0,0,3.4,3.92,0,,,,,,
20130301:1956,0,0,2.97,3.79,0,,,,,,
20130301:2056,0,0,2.55,3.66,0,,,,,,
20130301:2156,0,0,2.12,3.53,0,,,,,,
20130301:2256,0,0,2.09,3.43,0,,,,,,
20130301:2356,0,0,2.05,3.34,0,,,,,,
20130302:0056,0,0,2.02,3.24,0,,,,,,
20130302:0156,0,0,1.69,2.87,0,,,,,,
20130302:0256,0,0,1.36,2.5,0,,,,,,
20130302:0356,0,0,1.03,2.12,0,,,,,,
20130302:0456,0,0,0.68,2.02,0,,,,,,
20130302:0556,0,0,0.34,1.91,0,,,,,,
20130302:0656,21.56,0.1,-0.01,1.81,0,,,,,,
20130302:0756,205.55,8.91,0.49,1.93,0,,,,,,
20130302:0856,168.52,16.91,1,2.05,0,,,,,,
20130302:0956,120.2,23.6,1.5,2.17,0,,,,,,
20130302:1056,154.98,28.42,2.39,1.99,0,,,,,,
20130302:1156,166.82,30.81,3.28,1.81,0,,,,,,
20130302:1256,248.89,30.46,4.17,1.63,0,,,,,,
20130302:1356,560.5,27.41,4.5,1.6,0,,,,,,
20130302:1456,522.85,22.06,4.83,1.56,0,,,,,,
20130302:1556,328.24,14.99,5.16,1.53,0,,,,,,
20130302:1656,118.62,6.74,4.36,1.54,0,,,,,,
20130302:1756,0,0,3.55,1.55,0,,,,,,
20130302:1856,0,0,2.75,1.56,0,,,,,,
20130302:1956,0,0,2.2,1.47,0,,,,,,
20130302:2056,0,0,1.64,1.38,0,,,,,,
20130302:2156,0,0,1.09,1.3,0,,,,,,
20130302:2256,0,0,0.66,1.39,0,,,,,,
20130302:2356,0,0,0.23,1.49,0,,,,,,
20130303:0056,0,0,-0.19,1.59,0,,,,,,
20130303:0156,0,0,-0.99,1.14,0,,,,,,
20130303:0256,0,0,-1.78,0.69,0,,,,,,
20130303:0356,0,0,-2.58,0.23,0,,,,,,
20130303:0456,0,0,-2.92,0.69,0,,,,,,
20130303:0556,0,0,-3.25,1.14,0,,,,,,
20130303:0656,25.02,0.43,-3.59,1.59,0,,,,,,
20130303:0756,72.7,9.26,-2.22,1.55,0,,,,,,
20130303:0856,96.42,17.27,-0.86,1.52,0,,,,,,
20130303:0956,193.58,23.97,0.51,1.49,0,,,,,,
20130303:1056,267.74,28.8,2.03,2.23,0,,,,,,
20130303:1156,239.49,31.19,3.55,2.98,0,,,,,,
20130303:1256,288.89,30.83,5.07,3.72,0,,,,,,
20130303:1356,134.78,27.76,5.34,4.02,0,,,,,,
20130303:1456,91.97,22.39,5.61,4.31,0,,,,,,
20130303:1556,112.74,15.29,5.88,4.61,0,,,,,,
20130303:1656,54.76,7.02,4.64,4.23,0,,,,,,
20130303:1756,0,0,3.39,3.85,0,,,,,,
20130303:1856,0,0,2.14,3.48,0,,,,,,
20130303:1956,0,0,1.51,3.42,0,,,,,,
20130303:2056,0,0,0.88,3.36,0,,,,,,
20130303:2156,0,0,0.25,3.3,0,,,,,,
20130303:2256,0,0,0.28,3.39,0,,,,,,
20130303:2356,0,0,0.31,3.49,0,,,,,,
20130304:0056,0,0,0.34,3.59,0,,,,,,
20130304:0156,0,0,0.09,3.55,0,,,,,,
20130304:0256,0,0,-0.17,3.51,0,,,,,,
20130304:0356,0,0,-0.43,3.48,0,,,,,,
20130304:0456,0,0,-0.63,3.39,0,,,,,,
20130304:0556,0,0,-0.83,3.31,0,,,,,,
20130304:0656,4.17,0.76,-1.03,3.23,0,,,,,,
20130304:0756,222.04,9.6,-0.37,3.58,0,,,,,,
20130304:0856,401.75,17.63,0.28,3.93,0,,,,,,
20130304:0956,592.41,24.35,0.94,4.28,0,,,,,,
20130304:1056,746.31,29.18,2.1,4.09,0,,,,,,
20130304:1156,787.31,31.58,3.26,3.91,0,,,,,,
20130304:1256,755.6,31.21,4.42,3.72,0,,,,,,
20130304:1356,585.97,28.11,5.56,3.87,0,,,,,,
20130304:1456,512.89,22.72,6.7,4.02,0,,,,,,
20130304:1556,260.5,15.6,7.83,4.17,0,,,,,,
20130304:1656,126.56,7.31,6.51,3.74,0,,,,,,
20130304:1756,0,0,5.19,3.31,0,,,,,,
20130304:1856,0,0,3.87,2.88,0,,,,,,
20130304:1956,0,0,2.94,2.62,0,,,,,,
20130304:2056,0,0,2,2.36,0,,,,,,
20130304:2156,0,0,1.07,2.1,0,,,,,,
20130304:2256,0,0,0.61,2.24,0,,,,,,
20130304:2356,0,0,0.14,2.38,0,,,,,,
20130305:0056,0,0,-0.32,2.52,0,,,,,,
20130305:0156,0,0,-0.86,2.51,0,,,,,,
20130305:0256,0,0,-1.39,2.5,0,,,,,,
20130305:0356,0,0,-1.92,2.48,0,,,,,,
20130305:0456,0,0,-1.97,2.47,0,,,,,,
20130305:0556,0,0,-2.03,2.46,0,,,,,,
20130305:0656,6.16,1.1,-2.08,2.44,0,,,,,,
20130305:0756,216.72,9.95,-0.19,2.29,0,,,,,,
20130305:0856,427.25,17.99,1.7,2.14,0,,,,,,
20130305:0956,602.83,24.72,3.59,1.99,0,,,,,,
20130305:1056,721.99,29.57,5.82,1.91,0,,,,,,
20130305:1156,775.52,31.97,8.05,1.83,0,,,,,,
20130305:1256,757.35,31.58,10.28,1.75,0,,,,,,
20130305:1356,669.58,28.47,10.94,1.97,0,,,,,,
20130305:1456,521.7,23.04,11.61,2.18,0,,,,,,
20130305:1556,330.84,15.9,12.27,2.4,0,,,,,,
20130305:1656,125,7.59,10.52,2.4,0,,,,,,
20130305:1756,0,0,8.76,2.4,0,,,,,,
20130305:1856,0,0,7,2.4,0,,,,,,
20130305:1956,0,0,6.09,2.41,0,,,,,,
20130305:2056,0,0,5.17,2.43,0,,,,,,
20130305:2156,0,0,4.26,2.44,0,,,,,,
20130305:2256,0,0,4.02,2.34,0,,,,,,
20130305:2356,0,0,3.78,2.24,0,,,,,,
20130306:0056,0,0,3.55,2.14,0,,,,,,
20130306:0156,0,0,3.48,2,0,,,,,,
20130306:0256,0,0,3.41,1.86,0,,,,,,
20130306:0356,0,0,3.35,1.72,0,,,,,,
20130306:0456,0,0,3.45,1.86,0,,,,,,
20130306:0556,0,0,3.54,2,0,,,,,,
20130306:0656,7.3,1.44,3.64,2.14,0,,,,,,
20130306:0756,5.2,10.3,4.35,2.46,0,,,,,,
20130306:0856,307.41,18.35,5.07,2.77,1,,,,,,
20130306:0956,469.83,25.1,5.78,3.09,1,,,,,,
20130306:1056,177.53,29.96,6.98,3.27,0,,,,,,
20130306:1156,184.23,32.36,8.18,3.45,0,,,,,,
20130306:1256,141.16,31.96,9.38,3.63,0,,,,,,
20130306:1356,116.59,28.82,10.06,3.38,0,,,,,,
20130306:1456,76.96,23.37,10.75,3.14,0,,,,,,
20130306:1556,85.21,16.2,11.43,2.9,0,,,,,,
20130306:1656,22,7.87,10.45,3.02,0,,,,,,
20130306:1756,0,0,9.48,3.14,0,,,,,,
20130306:1856,0,0,8.5,3.27,0,,,,,,
20130306:1956,0,0,8.02,3.17,0,,,,,,
20130306:2056,0,0,7.55,3.08,0,,,,,,
20130306:2156,0,0,7.07,2.98,0,,,,,,
20130306:2256,0,0,7.11,2.87,0,,,,,,
20130306:2356,0,0,7.15,2.77,0,,,,,,
20130307:0056,0,0,7.2,2.66,0,,,,,,
20130307:0156,0,0,6.93,2.73,0,,,,,,
20130307:0256,0,0,6.67,2.79,0,,,,,,
20130307:0356,0,0,6.41,2.86,0,,,,,,
20130307:0456,0,0,6.4,2.74,0,,,,,,
20130307:0556,0,0,6.39,2.62,0,,,,,,
20130307:0656,10.97,1.79,6.38,2.5,0,,,,,,
20130307:0756,25.2,10.65,6.43,2.59,0,,,,,,
20130307:0856,93.47,18.72,6.48,2.69,0,,,,,,
20130307:0956,91.97,25.48,6.53,2.79,0,,,,,,
20130307:1056,180.56,30.35,6.52,3.28,0,,,,,,
20130307:1156,175.34,32.75,6.5,3.77,0,,,,,,
20130307:1256,184.94,32.34,6.49,4.26,0,,,,,,
20130307:1356,155.46,29.18,7.04,4.06,0,,,,,,
20130307:1456,15.78,23.7,7.59,3.86,0,,,,,,
20130307:1556,9.52,16.5,8.14,3.66,0,,,,,,
20130307:1656,24.33,8.15,7.9,3.54,0,,,,,,
20130307:1756,0,0,7.66,3.43,0,,,,,,
20130307:1856,0,0,7.42,3.31,0,,,,,,
20130307:1956,0,0,7.26,3.08,0,,,,,,
20130307:2056,0,0,7.1,2.85,0,,,,,,
20130307:2156,0,0,6.94,2.62,0,,,,,,
20130307:2256,0,0,6.99,2.65,0,,,,,,
20130307:2356,0,0,7.03,2.68,0,,,,,,
20130308:0056,0,0,7.07,2.7,0,,,,,,
20130308:0156,0,0,7.16,2.74,0,,,,,,
20130308:0256,0,0,7.24,2.77,0,,,,,,
20130308:0356,0,0,7.32,2.8,0,,,,,,
20130308:0456,0,0,7.24,2.51,0,,,,,,
20130308:0556,0,0,7.16,2.22,0,,,,,,
20130308:0656,1.17,2.13,7.08,1.93,0,,,,,,
20130308:0756,5.63,11,7.34,2.18,0,,,,,,
20130308:0856,18.35,19.08,7.6,2.44,0,,,,,,
20130308:0956,37.1,25.86,7.86,2.69,0,,,,,,
20130308:1056,103.91,30.74,8.28,2.51,0,,,,,,
20130308:1156,124.89,33.15,8.7,2.32,0,,,,,,
20130308:1256,117.31,32.72,9.12,2.14,0,,,,,,
20130308:1356,78.76,29.53,9.05,1.77,0,,,,,,
20130308:1456,72.79,24.02,8.98,1.4,0,,,,,,
20130308:1556,34.72,16.8,8.9,1.03,0,,,,,,
20130308:1656,7.91,8.43,8.35,1.09,0,,,,,,
20130308:1756,0,0,7.79,1.14,0,,,,,,
20130308:1856,0,0,7.24,1.2,0,,,,,,
20130308:1956,0,0,6.83,1.37,0,,,,,,
20130308:2056,0,0,6.42,1.53,0,,,,,,
20130308:2156,0,0,6.01,1.7,0,,,,,,
20130308:2256,0,0,6.09,1.8,0,,,,,,
20130308:2356,0,0,6.16,1.91,0,,,,,,
20130309:0056,0,0,6.24,2.01,0,,,,,,
20130309:0156,0,0,5.8,2.35,0,,,,,,
20130309:0256,0,0,5.37,2.69,0,,,,,,
20130309:0356,0,0,4.94,3.02,0,,,,,,
20130309:0456,0,0,4.8,2.75,0,,,,,,
20130309:0556,0,0,4.66,2.49,0,,,,,,
20130309:0656,9.86,2.48,4.52,2.22,0,,,,,,
20130309:0756,75.28,11.36,4.68,2.13,0,,,,,,
20130309:0856,51.18,19.45,4.83,2.04,0,,,,,,
20130309:0956,81.24,26.25,4.99,1.94,0,,,,,,
20130309:1056,133.82,31.14,5.55,2.1,0,,,,,,
20130309:1156,154.32,33.54,6.1,2.25,0,,,,,,
20130309:1256,127.75,33.1,6.66,2.4,0,,,,,,
20130309:1356,86.77,29.89,6.59,2.44,0,,,,,,
20130309:1456,16.66,24.35,6.52,2.48,0,,,,,,
20130309:1556,45.45,17.1,6.45,2.52,0,,,,,,
20130309:1656,37.49,8.71,5.72,2.55,0,,,,,,
20130309:1756,0,-0.32,5,2.57,0,,,,,,
20130309:1856,0,0,4.27,2.59,0,,,,,,
20130309:1956,0,0,3.63,2.93,0,,,,,,
20130309:2056,0,0,2.98,3.26,0,,,,,,
20130309:2156,0,0,2.34,3.6,0,,,,,,
20130309:2256,0,0,2.12,3.75,0,,,,,,
20130309:2356,0,0,1.9,3.9,0,,,,,,
20130310:0056,0,0,1.68,4.06,0,,,,,,
20130310:0156,0,0,1.45,4.12,0,,,,,,
20130310:0256,0,0,1.21,4.19,0,,,,,,
20130310:0356,0,0,0.97,4.26,0,,,,,,
20130310:0456,0,0,0.81,4.36,0,,,,,,
20130310:0556,0,0,0.66,4.46,0,,,,,,
20130310:0656,14.77,2.83,0.5,4.57,0,,,,,,
20130310:0756,52.54,11.71,0.68,5.03,0,,,,,,
20130310:0856,85.22,19.82,0.87,5.49,0,,,,,,
20130310:0956,127.45,26.63,1.05,5.96,0,,,,,,
20130310:1056,128.14,31.53,1.62,6.2,0,,,,,,
20130310:1156,117.46,33.94,2.19,6.45,0,,,,,,
20130310:1256,132.08,33.48,2.76,6.69,0,,,,,,
20130310:1356,120.71,30.24,2.65,6.93,0,,,,,,
20130310:1456,50.94,24.67,2.54,7.17,0,,,,,,
20130310:1556,10.49,17.4,2.43,7.41,0,,,,,,
20130310:1656,15.93,9,1.69,7.14,0,,,,,,
20130310:1756,0,-0.05,0.95,6.88,0,,,,,,
20130310:1856,0,0,0.21,6.62,0,,,,,,
20130310:1956,0,0,-0.15,6.6,0,,,,,,
20130310:2056,0,0,-0.51,6.58,0,,,,,,
20130310:2156,0,0,-0.87,6.57,0,,,,,,
20130310:2256,0,0,-0.84,6.58,0,,,,,,
20130310:2356,0,0,-0.82,6.6,0,,,,,,
20130311:0056,0,0,-0.8,6.62,0,,,,,,
20130311:0156,0,0,-1.06,6.91,0,,,,,,
20130311:0256,0,0,-1.33,7.2,0,,,,,,
20130311:0356,0,0,-1.6,7.49,0,,,,,,
20130311:0456,0,0,-1.78,7.42,0,,,,,,
20130311:0556,0,0,-1.97,7.34,0,,,,,,
20130311:0656,33.84,3.18,-2.15,7.27,0,,,,,,
20130311:0756,66.31,12.07,-2.01,8.14,0,,,,,,
20130311:0856,289.15,20.19,-1.86,9.02,0,,,,,,
20130311:0956,266.69,27.02,-1.72,9.89,0,,,,,,
20130311:1056,364.95,31.93,-1.16,10.11,0,,,,,,
20130311:1156,404.9,34.33,-0.61,10.33,0,,,,,,
20130311:1256,380.96,33.86,-0.05,10.55,0,,,,,,
20130311:1356,538.25,30.6,-0.08,10.57,0,,,,,,
20130311:1456,268.06,25,-0.11,10.59,0,,,,,,
20130311:1556,265.78,17.7,-0.14,10.61,0,,,,,,
20130311:1656,110.32,9.27,-0.8,9.87,0,,,,,,
20130311:1756,29.57,0.22,-1.47,9.14,0,,,,,,
20130311:1856,0,0,-2.14,8.4,0,,,,,,
20130311:1956,0,0,-2.59,8.13,0,,,,,,
20130311:2056,0,0,-3.03,7.87,0,,,,,,
20130311:2156,0,0,-3.48,7.6,0,,,,,,
20130311:2256,0,0,-3.38,7.8,0,,,,,,
20130311:2356,0,0,-3.29,8,0,,,,,,
20130312:0056,0,0,-3.19,8.19,0,,,,,,
20130312:0156,0,0,-3.3,7.96,0,,,,,,
20130312:0256,0,0,-3.4,7.72,0,,,,,,
20130312:0356,0,0,-3.51,7.49,0,,,,,,
20130312:0456,0,0,-3.43,7.23,0,,,,,,
20130312:0556,0,0,-3.34,6.97,0,,,,,,
20130312:0656,59.53,3.53,-3.26,6.7,0,,,,,,
20130312:0756,248.94,12.43,-2.5,6.97,0,,,,,,
20130312:0856,481.46,20.57,-1.73,7.24,0,,,,,,
20130312:0956,187.07,27.4,-0.97,7.5,0,,,,,,
20130312:1056,476.95,32.33,-0.08,7.93,0,,,,,,
20130312:1156,819.4,34.73,0.8,8.35,0,,,,,,
20130312:1256,447.49,34.24,1.69,8.77,0,,,,,,
20130312:1356,221.48,30.95,2.05,8.21,0,,,,,,
20130312:1456,175.17,25.32,2.41,7.65,0,,,,,,
20130312:1556,173.23,18,2.77,7.09,0,,,,,,
20130312:1656,87.49,9.55,2.08,6.27,0,,,,,,
20130312:1756,1.46,0.49,1.38,5.45,0,,,,,,
20130312:1856,0,0,0.68,4.63,0,,,,,,
20130312:1956,0,0,0.02,4.17,0,,,,,,
20130312:2056,0,0,-0.65,3.7,0,,,,,,
20130312:2156,0,0,-1.31,3.23,0,,,,,,
20130312:2256,0,0,-1.29,3.42,0,,,,,,
20130312:2356,0,0,-1.27,3.61,0,,,,,,
20130313:0056,0,0,-1.25,3.81,0,,,,,,
20130313:0156,0,0,-1.18,3.66,0,,,,,,
20130313:0256,0,0,-1.12,3.5,0,,,,,,
20130313:0356,0,0,-1.06,3.35,0,,,,,,
20130313:0456,0,0,-1.49,3.19,0,,,,,,
20130313:0556,0,0,-1.92,3.02,0,,,,,,
20130313:0656,60.24,3.88,-2.35,2.86,0,,,,,,
20130313:0756,242.25,12.8,-1.24,3.1,0,,,,,,
20130313:0856,497.58,20.94,-0.13,3.35,0,,,,,,
20130313:0956,675.11,27.79,0.98,3.6,0,,,,,,
20130313:1056,799.1,32.73,1.92,4.23,0,,,,,,
20130313:1156,834.08,35.13,2.86,4.87,0,,,,,,
20130313:1256,829.74,34.63,3.8,5.5,0,,,,,,
20130313:1356,382.95,31.31,3.98,5.39,0,,,,,,
20130313:1456,97.84,25.65,4.17,5.27,0,,,,,,
20130313:1556,226.17,18.29,4.35,5.16,0,,,,,,
20130313:1656,151.18,9.83,3.44,4.27,0,,,,,,
20130313:1756,3.01,0.76,2.54,3.38,0,,,,,,
20130313:1856,0,0,1.63,2.5,0,,,,,,
20130313:1956,0,0,0.58,2.5,0,,,,,,
20130313:2056,0,0,-0.48,2.51,0,,,,,,
20130313:2156,0,0,-1.53,2.51,0,,,,,,
20130313:2256,0,0,-1.94,2.41,0,,,,,,
20130313:2356,0,0,-2.36,2.32,0,,,,,,
20130314:0056,0,0,-2.78,2.22,0,,,,,,
20130314:0156,0,0,-3.07,2.17,0,,,,,,
20130314:0256,0,0,-3.37,2.11,0,,,,,,
20130314:0356,0,0,-3.66,2.06,0,,,,,,
20130314:0456,0,0,-3.91,2.03,0,,,,,,
20130314:0556,0,0,-4.16,2,0,,,,,,
20130314:0656,68.29,4.24,-4.41,1.97,0,,,,,,
20130314:0756,292.82,13.16,-2.93,1.96,0,,,,,,
20130314:0856,508.23,21.32,-1.46,1.94,0,,,,,,
20130314:0956,686.39,28.18,0.02,1.93,0,,,,,,
20130314:1056,799.67,33.12,1.29,2.55,0,,,,,,
20130314:1156,836.03,35.53,2.57,3.16,0,,,,,,
20130314:1256,754.11,35.01,3.84,3.78,0,,,,,,
20130314:1356,736.78,31.66,4.25,3.74,0,,,,,,
20130314:1456,345.78,25.97,4.66,3.71,0,,,,,,
20130314:1556,221.01,18.59,5.07,3.67,0,,,,,,
20130314:1656,95.53,10.11,4.23,3.34,0,,,,,,
20130314:1756,3.93,1.03,3.38,3.02,0,,,,,,
20130314:1856,0,0,2.54,2.69,0,,,,,,
20130314:1956,0,0,2.02,3.2,0,,,,,,
20130314:2056,0,0,1.5,3.72,0,,,,,,
