"Latitude (decimal degrees):	51.790",,,,,,,,Date,G_i (kW/m),Electric car demand (kWh),Electric bus demand (kWh)
20070106:1156,8.79,15.63,6.18,2.34,0,,,20070106:2156,0,6.35795117,50
20070106:1256,16.95,15.06,6.66,2,0,,,20070106:2256,0,0,0
20070106:1356,54.93,12.24,6.79,2.3,0,,,20070106:2356,0,0,0
20070106:1456,15.93,7.42,6.93,2.6,0,,,20070107:0056,0,0,0
20070106:1556,5.78,0.98,7.06,2.9,0,,,20070107:0156,0,0,0
20070106:1656,0,0,6.78,3.49,0,,,20070107:0256,0,0,0
20070106:1756,0,0,6.51,4.08,0,,,20070107:0356,0,0,0
20070106:1856,0,0,6.23,4.68,0,,,20070107:0456,0,0,0
20070106:1956,0,0,5.72,4.66,0,,,20070107:0556,0,0,50
20070106:2056,0,0,5.22,4.64,0,,,20070107:0656,0,9.082787386,50
20070106:2156,0,0,4.72,4.62,0,,,20070107:0756,0,86.28648017,50
20070106:2256,0,0,5.07,5.09,0,,,20070107:0856,0.063663,186.1971414,50
20070106:2356,0,0,5.43,5.57,0,,,20070107:0956,0.12688,240.6938657,50
20070107:0056,0,0,5.79,6.04,0,,,20070107:1056,0.182605,261.5842767,50
20070107:0156,0,0,6.21,6.65,0,,,20070107:1156,0.244603,207.5416918,50
20070107:0256,0,0,6.62,7.26,0,,,20070107:1256,0.163865,137.6042289,50
20070107:0356,0,0,7.03,7.86,0,,,20070107:1356,0.144835,99.45652188,50
20070107:0456,0,0,7.29,8.24,0,,,20070107:1456,0.112449,77.65783215,50
20070107:0556,0,0,7.54,8.63,0,,,20070107:1556,0.013415,67.21262666,50
20070107:0656,0,0,7.8,9.01,0,,,20070107:1656,0,49.95533062,50
20070107:0756,0,0,7.96,8.83,0,,,20070107:1756,0,46.32221567,50
20070107:0856,53.97,4.41,8.12,8.65,0,,,20070107:1856,0,44.50565819,50
20070107:0956,216.24,10.11,8.28,8.47,0,,,20070107:1956,0,31.78975585,50
20070107:1056,220,14,8.62,8.66,0,,,20070107:2056,0,19.07385351,50
20070107:1156,158.69,15.75,8.96,8.85,0,,,20070107:2156,0,6.35795117,50
20070107:1256,95.89,15.19,9.3,9.03,0,,,20070107:2256,0,0,0
20070107:1356,74.81,12.38,9.22,9.27,0,,,20070107:2356,0,0,0
20070107:1456,99.41,7.57,9.14,9.51,0,,,20070108:0056,0,0,0
20070107:1556,23.84,1.13,9.06,9.75,0,,,20070108:0156,0,0,0
20070107:1656,0,0,8.87,9.66,0,,,20070108:0256,0,0,0
20070107:1756,0,0,8.69,9.58,0,,,20070108:0356,0,0,0
20070107:1856,0,0,8.5,9.49,0,,,20070108:0456,0,0,0
20070107:1956,0,0,8.43,9.84,0,,,20070108:0556,0,0,50
20070107:2056,0,0,8.36,10.19,0,,,20070108:0656,0,9.082787386,50
20070107:2156,0,0,8.3,10.54,0,,,20070108:0756,0,86.28648017,50
20070107:2256,0,0,8.65,10.25,0,,,20070108:0856,0.056966,186.1971414,50
20070107:2356,0,0,9.01,9.96,0,,,20070108:0956,0.11606,240.6938657,50
20070108:0056,0,0,9.37,9.67,0,,,20070108:1056,0.15571,261.5842767,50
20070108:0156,0,0,8.77,9.03,0,,,20070108:1156,0.170295,207.5416918,50
20070108:0256,0,0,8.17,8.38,0,,,20070108:1256,0.159041,137.6042289,50
20070108:0356,0,0,7.56,7.74,0,,,20070108:1356,0.107141,99.45652188,50
