"Latitude (decimal degrees):	51.790",,,,,,,,Date (ignore the year),Averaged G_i (W/m^2)
20151127:1356,104.97,12.35,10.06,5.98,0,,,20151127:2156,0
20151127:1456,205.93,6.95,9.99,6.21,0,,,20151127:2256,0
20151127:1556,0,0,9.91,6.44,0,,,20151127:2356,0
20151127:1656,0,0,9.66,6.71,0,,,20151128:0056,0
20151127:1756,0,0,9.4,6.98,0,,,20151128:0156,0
20151127:1856,0,0,9.14,7.26,0,,,20151128:0256,0
20151127:1956,0,0,7.66,7.77,0,,,20151128:0356,0
20151127:2056,0,0,6.18,8.28,0,,,20151128:0456,0
20151127:2156,0,0,4.7,8.8,0,,,20151128:0556,0
20151127:2256,0,0,4.13,7.94,0,,,20151128:0656,0
20151127:2356,0,0,3.57,7.08,0,,,20151128:0756,0.7
20151128:0056,0,0,3.01,6.22,0,,,20151128:0856,180.96
20151128:0156,0,0,2.71,6.02,0,,,20151128:0956,279.655
20151128:0256,0,0,2.41,5.82,0,,,20151128:1056,378.01
20151128:0356,0,0,2.12,5.61,0,,,20151128:1156,342.785
20151128:0456,0,0,2.12,5.37,0,,,20151128:1256,369.395
20151128:0556,0,0,2.13,5.12,0,,,20151128:1356,238.425
20151128:0656,0,0,2.13,4.87,0,,,20151128:1456,116.975
20151128:0756,1.4,0.42,2.52,5.05,0,,,20151128:1556,0
20151128:0856,83.87,7.23,2.9,5.23,0,,,20151128:1656,0
20151128:0956,77.72,12.5,3.29,5.41,0,,,20151128:1756,0
20151128:1056,145.13,15.83,4.35,6.07,0,,,20151128:1856,0
20151128:1156,44.52,16.93,5.4,6.73,0,,,20151128:1956,0
20151128:1256,155.24,15.68,6.46,7.39,0,,,20151128:2056,0
20151128:1356,39.16,12.21,6.46,7.92,0,,,20151128:2156,0
20151128:1456,8.14,6.82,6.46,8.45,0,,,20151128:2256,0
20151128:1556,0,0,6.47,8.98,0,,,20151128:2356,0
20151128:1656,0,0,6.87,8.79,0,,,20151129:0056,0
20151128:1756,0,0,7.27,8.59,0,,,20151129:0156,0
20151128:1856,0,0,7.67,8.4,0,,,20151129:0256,0
20151128:1956,0,0,7.55,8.31,0,,,20151129:0356,0
20151128:2056,0,0,7.42,8.23,0,,,20151129:0456,0
20151128:2156,0,0,7.3,8.14,0,,,20151129:0556,0
20151128:2256,0,0,7.18,8.06,0,,,20151129:0656,0
20151128:2356,0,0,7.06,7.97,0,,,20151129:0756,0.085
20151129:0056,0,0,6.94,7.89,0,,,20151129:0856,157.94
20151129:0156,0,0,7.12,7.98,0,,,20151129:0956,263.765
20151129:0256,0,0,7.3,8.06,0,,,20151129:1056,336.59
20151129:0356,0,0,7.48,8.15,0,,,20151129:1156,357.3
20151129:0456,0,0,7.57,8.11,0,,,20151129:1256,308.23
20151129:0556,0,0,7.67,8.08,0,,,20151129:1356,247.88
20151129:0656,0,0,7.76,8.04,0,,,20151129:1456,116.1
20151129:0756,0.17,0.23,8.06,8.73,0,,,20151129:1556,0
20151129:0856,33.67,7.04,8.37,9.42,0,,,20151129:1656,0
20151129:0956,38.34,12.31,8.67,10.11,0,,,20151129:1756,0
20151129:1056,64.57,15.65,9.32,10.57,0,,,20151129:1856,0
20151129:1156,75.19,16.76,9.98,11.04,0,,,20151129:1956,0
20151129:1256,34.11,15.52,10.63,11.5,0,,,20151129:2056,0
20151129:1356,52.75,12.07,10.64,11.97,0,,,20151129:2156,0
20151129:1456,3,6.7,10.65,12.43,0,,,20151129:2256,0
20151129:1556,0,0,10.65,12.9,0,,,20151129:2356,0
20151129:1656,0,0,10.2,12.13,0,,,20151130:0056,0
20151129:1756,0,0,9.74,11.36,0,,,20151130:0156,0
20151129:1856,0,0,9.28,10.59,0,,,20151130:0256,0
20151129:1956,0,0,8.59,9.44,0,,,20151130:0356,0
20151129:2056,0,0,7.91,8.28,0,,,20151130:0456,0
20151129:2156,0,0,7.22,7.13,0,,,20151130:0556,0
20151129:2256,0,0,6.54,6.83,0,,,20151130:0656,0
20151129:2356,0,0,5.86,6.52,0,,,20151130:0756,0
20151130:0056,0,0,5.18,6.22,0,,,20151130:0856,146.4
20151130:0156,0,0,5.23,5.55,0,,,20151130:0956,250.9
20151130:0256,0,0,5.28,4.89,0,,,20151130:1056,322.61
20151130:0356,0,0,5.33,4.22,0,,,20151130:1156,332.95
20151130:0456,0,0,5.72,4.25,0,,,20151130:1256,316.555
20151130:0556,0,0,6.12,4.28,0,,,20151130:1356,221.86
20151130:0656,0,0,6.51,4.3,0,,,20151130:1456,112.62
20151130:0756,0,0,7.34,5.64,0,,,20151130:1556,0
20151130:0856,20.01,6.86,8.17,6.97,0,,,20151130:1656,0
20151130:0956,21.69,12.13,9,8.3,0,,,20151130:1756,0
20151130:1056,55.03,15.47,9.34,8.94,0,,,20151130:1856,0
20151130:1156,44.34,16.59,9.67,9.57,0,,,20151130:1956,0
20151130:1256,67.42,15.37,10.01,10.21,0,,,20151130:2056,0
20151130:1356,21.42,11.94,10.09,10.55,0,,,20151130:2156,0
20151130:1456,12.73,6.59,10.17,10.89,0,,,20151130:2256,0
20151130:1556,0,0,10.26,11.23,0,,,20151130:2356,0
20151130:1656,0,0,10.44,10.79,0,,,20151201:0056,0
20151130:1756,0,0,10.62,10.34,0,,,20151201:0156,0
20151130:1856,0,0,10.8,9.9,0,,,20151201:0256,0
20151130:1956,0,0,10.7,9.02,0,,,20151201:0356,0
20151130:2056,0,0,10.6,8.13,0,,,20151201:0456,0
20151130:2156,0,0,10.51,7.24,0,,,20151201:0556,0
20151130:2256,0,0,10.32,5.43,0,,,20151201:0656,0
20151130:2356,0,0,10.14,3.63,0,,,20151201:0756,0
20151201:0056,0,0,9.96,1.82,0,,,20151201:0856,126.045
20151201:0156,0,0,9.92,2.83,0,,,20151201:0956,274.595
20151201:0256,0,0,9.89,3.83,0,,,20151201:1056,362.865
20151201:0356,0,0,9.85,4.84,0,,,20151201:1156,358.9
20151201:0456,0,0,10.08,5.58,0,,,20151201:1256,299.4
20151201:0556,0,0,10.32,6.31,0,,,20151201:1356,225.45
20151201:0656,0,0,10.56,7.05,0,,,20151201:1456,112.36
20151201:0756,0,0,10.63,7.09,0,,,20151201:1556,0
20151201:0856,11.87,6.67,10.7,7.12,0,,,20151201:1656,0
20151201:0956,105.38,11.95,10.77,7.16,0,,,20151201:1756,0
20151201:1056,160.76,15.3,10.93,7.24,0,,,20151201:1856,0
20151201:1156,121.06,16.43,11.08,7.31,0,,,20151201:1956,0
20151201:1256,56.4,15.23,11.23,7.39,0,,,20151201:2056,0
20151201:1356,44.71,11.81,11.12,7.21,0,,,20151201:2156,0
20151201:1456,25.39,6.49,11.01,7.03,0,,,20151201:2256,0
20151201:1556,0,0,10.91,6.84,0,,,20151201:2356,0
20151201:1656,0,0,10.58,6.29,0,,,20151202:0056,0
20151201:1756,0,0,10.26,5.73,0,,,20151202:0156,0
20151201:1856,0,0,9.94,5.17,0,,,20151202:0256,0
20151201:1956,0,0,9.76,5.54,0,,,20151202:0356,0
20151201:2056,0,0,9.58,5.91,0,,,20151202:0456,0
20151201:2156,0,0,9.4,6.28,0,,,20151202:0556,0
20151201:2256,0,0,9.42,5.97,0,,,20151202:0656,0
20151201:2356,0,0,9.44,5.67,0,,,20151202:0756,0
20151202:0056,0,0,9.46,5.37,0,,,20151202:0856,240.84
20151202:0156,0,0,9.39,5.66,0,,,20151202:0956,255.595
20151202:0256,0,0,9.32,5.96,0,,,20151202:1056,262.825
20151202:0356,0,0,9.25,6.26,0,,,20151202:1156,100.92
20151202:0456,0,0,9.15,6.35,0,,,20151202:1256,69.59
20151202:0556,0,0,9.06,6.45,0,,,20151202:1356,49.515
20151202:0656,0,0,8.97,6.54,0,,,20151202:1456,73.245
20151202:0756,0,0,8.98,6.39,0,,,20151202:1556,0
20151202:0856,243.97,6.5,8.99,6.24,0,,,20151202:1656,0
20151202:0956,447.78,11.78,9.01,6.1,0,,,20151202:1756,0
20151202:1056,457.76,15.13,9.87,5.87,0,,,20151202:1856,0
20151202:1156,123.53,16.28,10.74,5.64,0,,,20151202:1956,0
20151202:1256,78.02,15.09,11.61,5.41,0,,,20151202:2056,0
20151202:1356,55.55,11.69,11.5,5.84,0,,,20151202:2156,0
20151202:1456,117.03,6.39,11.39,6.27,0,,,20151202:2256,0
20151202:1556,0,0,11.29,6.7,0,,,20151202:2356,0
20151202:1656,0,0,11.1,6.65,0,,,20151203:0056,0
20151202:1756,0,0,10.92,6.6,0,,,20151203:0156,0
20151202:1856,0,0,10.74,6.55,0,,,20151203:0256,0
20151202:1956,0,0,10.73,6.42,0,,,20151203:0356,0
20151202:2056,0,0,10.73,6.29,0,,,20151203:0456,0
20151202:2156,0,0,10.73,6.15,0,,,20151203:0556,0
20151202:2256,0,0,10.88,5.99,0,,,20151203:0656,0
20151202:2356,0,0,11.04,5.83,0,,,20151203:0756,0
20151203:0056,0,0,11.2,5.67,0,,,20151203:0856,129.845
20151203:0156,0,0,11.3,6.05,0,,,20151203:0956,58.55
20151203:0256,0,0,11.4,6.43,0,,,20151203:1056,86.74
20151203:0356,0,0,11.5,6.81,0,,,20151203:1156,57.765
20151203:0456,0,0,11.36,6.56,0,,,20151203:1256,153.83
20151203:0556,0,0,11.22,6.31,0,,,20151203:1356,196.895
20151203:0656,0,0,11.09,6.06,0,,,20151203:1456,111.415
20151203:0756,0,0,11.04,6.16,0,,,20151203:1556,0
20151203:0856,23.81,6.33,11,6.27,0,,,20151203:1656,0
20151203:0956,23.1,11.61,10.95,6.37,0,,,20151203:1756,0
20151203:1056,30.7,14.97,11.23,6.41,0,,,20151203:1856,0
20151203:1156,20.51,16.13,11.5,6.45,0,,,20151203:1956,0
20151203:1256,180.77,14.96,11.77,6.48,0,,,20151203:2056,0
20151203:1356,261.41,11.58,11.51,6.99,0,,,20151203:2156,0
20151203:1456,16.37,6.29,11.25,7.49,0,,,20151203:2256,0
20151203:1556,0,0,11,8,0,,,20151203:2356,0
20151203:1656,0,0,10.9,8.57,0,,,20151204:0056,0
20151203:1756,0,0,10.8,9.15,0,,,20151204:0156,0
20151203:1856,0,0,10.71,9.72,0,,,20151204:0256,0
20151203:1956,0,0,10.92,9.52,0,,,20151204:0356,0
20151203:2056,0,0,11.13,9.31,0,,,20151204:0456,0
20151203:2156,0,0,11.34,9.1,0,,,20151204:0556,0
20151203:2256,0,0,10.49,8.34,0,,,20151204:0656,0
20151203:2356,0,0,9.65,7.57,0,,,20151204:0756,0
20151204:0056,0,0,8.81,6.8,0,,,20151204:0856,239.575
20151204:0156,0,0,7.55,6.53,0,,,20151204:0956,252.745
20151204:0256,0,0,6.28,6.26,0,,,20151204:1056,368.81
20151204:0356,0,0,5.02,5.99,0,,,20151204:1156,357.97
20151204:0456,0,0,5.22,6.01,0,,,20151204:1256,278.09
20151204:0556,0,0,5.43,6.04,0,,,20151204:1356,104.425
20151204:0656,0,0,5.63,6.07,0,,,20151204:1456,43.4
20151204:0756,0,0,6.26,6.11,0,,,20151204:1556,0
20151204:0856,229.21,6.16,6.88,6.16,0,,,20151204:1656,0
20151204:0956,42.75,11.45,7.49,6.21,0,,,20151204:1756,0
20151204:1056,151.53,14.82,8.64,6.19,0,,,20151204:1856,0
20151204:1156,95.5,15.99,9.79,6.17,0,,,20151204:1956,0
20151204:1256,82.66,14.84,10.94,6.15,0,,,20151204:2056,0
20151204:1356,67.21,11.48,10.67,6.39,0,,,20151204:2156,0
20151204:1456,30.39,6.21,10.41,6.62,0,,,20151204:2256,0
20151204:1556,0,0,10.15,6.86,0,,,20151204:2356,0
20151204:1656,0,0,9.79,7.08,0,,,20151205:0056,0
20151204:1756,0,0,9.43,7.31,0,,,20151205:0156,0
20151204:1856,0,0,9.07,7.53,0,,,20151205:0256,0
20151204:1956,0,0,9.07,7.81,0,,,20151205:0356,0
20151204:2056,0,0,9.08,8.08,0,,,20151205:0456,0
20151204:2156,0,0,9.09,8.36,0,,,20151205:0556,0
20151204:2256,0,0,9.31,8.77,0,,,20151205:0656,0
20151204:2356,0,0,9.53,9.19,0,,,20151205:0756,0
20151205:0056,0,0,9.75,9.6,0,,,20151205:0856,128.31
20151205:0156,0,0,9.43,9.65,0,,,20151205:0956,170.375
20151205:0256,0,0,9.11,9.69,0,,,20151205:1056,111.85
20151205:0356,0,0,8.79,9.74,0,,,20151205:1156,77.595
20151205:0456,0,0,8.72,9.63,0,,,20151205:1256,90.425
20151205:0556,0,0,8.65,9.53,0,,,20151205:1356,108.805
20151205:0656,0,0,8.59,9.42,0,,,20151205:1456,112.355
20151205:0756,0,0,8.69,9.34,0,,,20151205:1556,0
20151205:0856,40.12,6,8.78,9.26,0,,,20151205:1656,0
20151205:0956,32.52,11.29,8.89,9.19,0,,,20151205:1756,0
20151205:1056,36.88,14.68,9.27,9.46,0,,,20151205:1856,0
20151205:1156,30.97,15.86,9.65,9.73,0,,,20151205:1956,0
20151205:1256,58.84,14.72,10.03,10,0,,,20151205:2056,0
20151205:1356,47.54,11.39,9.88,10.3,0,,,20151205:2156,0
20151205:1456,18.6,6.13,9.73,10.6,0,,,20151205:2256,0
20151205:1556,0,0,9.59,10.9,0,,,20151205:2356,0
20151205:1656,0,0,9.51,10.76,0,,,20151206:0056,0
20151205:1756,0,0,9.43,10.63,0,,,20151206:0156,0
20151205:1856,0,0,9.36,10.5,0,,,20151206:0256,0
20151205:1956,0,0,9.35,10.57,0,,,20151206:0356,0
20151205:2056,0,0,9.34,10.64,0,,,20151206:0456,0
20151205:2156,0,0,9.34,10.72,0,,,20151206:0556,0
20151205:2256,0,0,9.64,10.35,0,,,20151206:0656,0
20151205:2356,0,0,9.94,9.98,0,,,20151206:0756,0
20151206:0056,0,0,10.24,9.61,0,,,20151206:0856,103.735
20151206:0156,0,0,10.21,9.34,0,,,20151206:0956,23.28
20151206:0256,0,0,10.17,9.07,0,,,20151206:1056,65.79
20151206:0356,0,0,10.14,8.8,0,,,20151206:1156,160.74
20151206:0456,0,0,10.29,8.54,0,,,20151206:1256,78.95
20151206:0556,0,0,10.44,8.28,0,,,20151206:1356,40.36
20151206:0656,0,0,10.59,8.01,0,,,20151206:1456,27.95
20151206:0756,0,0,10.84,8.12,0,,,20151206:1556,0
20151206:0856,17.28,5.85,11.1,8.23,0,,,20151206:1656,0
20151206:0956,5.28,11.15,11.36,8.34,0,,,20151206:1756,0
20151206:1056,91.15,14.54,11.68,7.49,0,,,20151206:1856,0
20151206:1156,258.59,15.73,12,6.63,0,,,20151206:1956,0
20151206:1256,108.96,14.62,12.32,5.77,0,,,20151206:2056,0
20151206:1356,15.19,11.3,12.06,5.63,0,,,20151206:2156,0
20151206:1456,28.11,6.06,11.81,5.5,0,,,20151206:2256,0
20151206:1556,0,0,11.56,5.37,0,,,20151206:2356,0
20151206:1656,0,0,11.17,4.5,0,,,20151207:0056,0
20151206:1756,0,0,10.78,3.64,0,,,20151207:0156,0
20151206:1856,0,0,10.4,2.77,0,,,20151207:0256,0
20151206:1956,0,0,10.26,2.93,0,,,20151207:0356,0
20151206:2056,0,0,10.12,3.09,0,,,20151207:0456,0
20151206:2156,0,0,9.98,3.24,0,,,20151207:0556,0
20151206:2256,0,0,10.25,3.39,0,,,20151207:0656,0
20151206:2356,0,0,10.51,3.54,0,,,20151207:0756,0
20151207:0056,0,0,10.78,3.7,0,,,20151207:0856,122.91
20151207:0156,0,0,11.04,4.05,0,,,20151207:0956,60.665
20151207:0256,0,0,11.31,4.4,0,,,20151207:1056,278.485
20151207:0356,0,0,11.57,4.74,0,,,20151207:1156,44.48
20151207:0456,0,0,11.5,4.82,0,,,20151207:1256,70.585
20151207:0556,0,0,11.43,4.89,0,,,20151207:1356,258.48
20151207:0656,0,0,11.35,4.97,0,,,20151207:1456,137.205
20151207:0756,0,0,11.39,4.78,0,,,20151207:1556,0
20151207:0856,190.38,5.7,11.42,4.6,0,,,20151207:1656,0
20151207:0956,19.87,11,11.45,4.41,0,,,20151207:1756,0
20151207:1056,526.18,14.41,11.84,4.54,0,,,20151207:1856,0
20151207:1156,35.02,15.62,12.22,4.66,0,,,20151207:1956,0
20151207:1256,68.88,14.52,12.6,4.79,0,,,20151207:2056,0
20151207:1356,286.89,11.21,12.42,5.05,0,,,20151207:2156,0
20151207:1456,171.86,6,12.24,5.31,0,,,20151207:2256,0
20151207:1556,0,0,12.07,5.57,0,,,20151207:2356,0
20151207:1656,0,0,11.3,5.79,0,,,20151208:0056,0
20151207:1756,0,0,10.53,6.01,0,,,20151208:0156,0
20151207:1856,0,0,9.76,6.23,0,,,20151208:0256,0
20151207:1956,0,0,9.72,6.24,0,,,20151208:0356,0
20151207:2056,0,0,9.69,6.24,0,,,20151208:0456,0
20151207:2156,0,0,9.65,6.25,0,,,20151208:0556,0
20151207:2256,0,0,10.03,6.41,0,,,20151208:0656,0
20151207:2356,0,0,10.41,6.57,0,,,20151208:0756,0
20151208:0056,0,0,10.79,6.73,0,,,20151208:0856,112.39
20151208:0156,0,0,10.94,6.73,0,,,20151208:0956,85.155
20151208:0256,0,0,11.09,6.72,0,,,20151208:1056,167.35
20151208:0356,0,0,11.24,6.72,0,,,20151208:1156,188.515
20151208:0456,0,0,11.11,6.77,0,,,20151208:1256,152.555
20151208:0556,0,0,10.99,6.83,0,,,20151208:1356,127.115
20151208:0656,0,0,10.86,6.88,0,,,20151208:1456,134.165
20151208:0756,0,0,10.63,6.71,0,,,20151208:1556,0
20151208:0856,125.49,5.56,10.39,6.53,0,,,20151208:1656,0
20151208:0956,165.31,10.87,10.15,6.36,0,,,20151208:1756,0
20151208:1056,296.27,14.28,10.36,6.6,0,,,20151208:1856,0
20151208:1156,294.13,15.51,10.56,6.84,0,,,20151208:1956,0
20151208:1256,200.24,14.42,10.77,7.08,0,,,20151208:2056,0
20151208:1356,211.87,11.14,10.05,6.81,0,,,20151208:2156,0
20151208:1456,92.48,5.94,9.34,6.55,0,,,20151208:2256,0
20151208:1556,0,0,8.63,6.29,0,,,20151208:2356,0
20151208:1656,0,0,8.12,6.74,0,,,20151209:0056,0
20151208:1756,0,0,7.61,7.2,0,,,20151209:0156,0
20151208:1856,0,0,7.1,7.66,0,,,20151209:0256,0
20151208:1956,0,0,6.67,6.74,0,,,20151209:0356,0
20151208:2056,0,0,6.24,5.83,0,,,20151209:0456,0
20151208:2156,0,0,5.8,4.92,0,,,20151209:0556,0
20151208:2256,0,0,5.48,4.69,0,,,20151209:0656,0
20151208:2356,0,0,5.16,4.46,0,,,20151209:0756,0
20151209:0056,0,0,4.84,4.23,0,,,20151209:0856,53.405
20151209:0156,0,0,4.64,4.05,0,,,20151209:0956,234.9
20151209:0256,0,0,4.43,3.87,0,,,20151209:1056,202.185
20151209:0356,0,0,4.23,3.68,0,,,20151209:1156,325.395
20151209:0456,0,0,4.16,3.83,0,,,20151209:1256,175.645
20151209:0556,0,0,4.09,3.97,0,,,20151209:1356,112.37
20151209:0656,0,0,4.03,4.11,0,,,20151209:1456,81.205
20151209:0756,0,0,4.45,4.38,0,,,20151209:1556,0
20151209:0856,104.31,5.43,4.88,4.65,0,,,20151209:1656,0
20151209:0956,183.61,10.74,5.3,4.92,0,,,20151209:1756,0
20151209:1056,256.88,14.16,6.69,4.98,0,,,20151209:1856,0
20151209:1156,326.02,15.4,8.07,5.04,0,,,20151209:1956,0
20151209:1256,265.59,14.34,9.46,5.1,0,,,20151209:2056,0
20151209:1356,217.33,11.07,9.29,5.52,0,,,20151209:2156,0
20151209:1456,96.75,5.89,9.12,5.94,0,,,20151209:2256,0
20151209:1556,0,0,8.95,6.36,0,,,20151209:2356,0
20151209:1656,0,0,8.76,6.83,0,,,20151210:0056,0
20151209:1756,0,0,8.57,7.31,0,,,20151210:0156,0
20151209:1856,0,0,8.38,7.78,0,,,20151210:0256,0
20151209:1956,0,0,8.45,7.87,0,,,20151210:0356,0
20151209:2056,0,0,8.52,7.95,0,,,20151210:0456,0
20151209:2156,0,0,8.59,8.04,0,,,20151210:0556,0
20151209:2256,0,0,8.72,7.96,0,,,20151210:0656,0
20151209:2356,0,0,8.85,7.88,0,,,20151210:0756,0
20151210:0056,0,0,8.98,7.81,0,,,20151210:0856,56.76
20151210:0156,0,0,8.86,8.08,0,,,20151210:0956,79.58
20151210:0256,0,0,8.74,8.36,0,,,20151210:1056,149.265
20151210:0356,0,0,8.63,8.63,0,,,20151210:1156,169.32
20151210:0456,0,0,8.58,8.5,0,,,20151210:1256,116.325
20151210:0556,0,0,8.53,8.37,0,,,20151210:1356,91.085
20151210:0656,0,0,8.48,8.23,0,,,20151210:1456,68.675
20151210:0756,0,0,8.71,8.03,0,,,20151210:1556,0
20151210:0856,98.19,5.3,8.94,7.83,0,,,20151210:1656,0
20151210:0956,150.75,10.62,9.16,7.63,0,,,20151210:1756,0
20151210:1056,238.37,14.05,9.44,7.16,0,,,20151210:1856,0
20151210:1156,261.12,15.31,9.72,6.7,0,,,20151210:1956,0
20151210:1256,219.64,14.26,10,6.23,0,,,20151210:2056,0
20151210:1356,177.12,11.01,9.71,6.48,0,,,20151210:2156,0
20151210:1456,105.59,5.85,9.42,6.73,0,,,20151210:2256,0
20151210:1556,0,0,9.14,6.98,0,,,20151210:2356,0
20151210:1656,0,0,8.88,5.73,0,,,20151211:0056,0
20151210:1756,0,0,8.63,4.49,0,,,20151211:0156,0
20151210:1856,0,0,8.38,3.24,0,,,20151211:0256,0
20151210:1956,0,0,8.04,3.52,0,,,20151211:0356,0
20151210:2056,0,0,7.71,3.79,0,,,20151211:0456,0
20151210:2156,0,0,7.38,4.07,0,,,20151211:0556,0
20151210:2256,0,0,7.36,4.19,0,,,20151211:0656,0
20151210:2356,0,0,7.34,4.31,0,,,20151211:0756,0
20151211:0056,0,0,7.33,4.43,0,,,20151211:0856,92.83
20151211:0156,0,0,7.34,4.92,0,,,20151211:0956,87.495
20151211:0256,0,0,7.34,5.42,0,,,20151211:1056,338.76
20151211:0356,0,0,7.35,5.92,0,,,20151211:1156,223.25
20151211:0456,0,0,7.08,5.62,0,,,20151211:1256,163.135
20151211:0556,0,0,6.81,5.32,0,,,20151211:1356,131.885
20151211:0656,0,0,6.55,5.02,0,,,20151211:1456,77.6
20151211:0756,0,0,6.52,5.29,0,,,20151211:1556,0
20151211:0856,103,5.17,6.5,5.56,0,,,20151211:1656,0
20151211:0956,145.97,10.5,6.47,5.83,0,,,20151211:1756,0
20151211:1056,249.6,13.95,6.93,5.82,0,,,20151211:1856,0
20151211:1156,223.31,15.22,7.39,5.8,0,,,20151211:1956,0
20151211:1256,211.96,14.19,7.85,5.78,0,,,20151211:2056,0
20151211:1356,166.29,10.96,7.6,5.53,0,,,20151211:2156,0
20151211:1456,142.83,5.81,7.35,5.27,0,,,20151211:2256,0
20151211:1556,0,0,7.1,5.02,0,,,20151211:2356,0
20151211:1656,0,0,6.47,4.67,0,,,20151212:0056,0
20151211:1756,0,0,5.85,4.32,0,,,20151212:0156,0
20151211:1856,0,0,5.23,3.97,0,,,20151212:0256,0
20151211:1956,0,0,4.96,4.02,0,,,20151212:0356,0
20151211:2056,0,0,4.69,4.06,0,,,20151212:0456,0
20151211:2156,0,0,4.43,4.11,0,,,20151212:0556,0
20151211:2256,0,0,4.52,3.66,0,,,20151212:0656,0
20151211:2356,0,0,4.61,3.22,0,,,20151212:0756,0
20151212:0056,0,0,4.71,2.77,0,,,20151212:0856,127.085
20151212:0156,0,0,4.3,2.66,0,,,20151212:0956,66.135
20151212:0256,0,0,3.89,2.54,0,,,20151212:1056,122.995
20151212:0356,0,0,3.48,2.43,0,,,20151212:1156,104.575
20151212:0456,0,0,3.83,2.51,0,,,20151212:1256,115.705
20151212:0556,0,0,4.18,2.58,0,,,20151212:1356,78.38
20151212:0656,0,0,4.53,2.66,0,,,20151212:1456,144.825
20151212:0756,0,0,5.25,3.83,0,,,20151212:1556,0
20151212:0856,101.56,5.06,5.98,5.01,0,,,20151212:1656,0
20151212:0956,123.99,10.39,6.7,6.18,0,,,20151212:1756,0
20151212:1056,222.29,13.85,7.9,7.19,0,,,20151212:1856,0
20151212:1156,168.31,15.14,9.09,8.2,0,,,20151212:1956,0
20151212:1256,182.02,14.13,10.29,9.21,0,,,20151212:2056,0
20151212:1356,151.71,10.92,10.32,9.47,0,,,20151212:2156,0
20151212:1456,120.52,5.79,10.35,9.72,0,,,20151212:2256,0
20151212:1556,0,0,10.39,9.97,0,,,20151212:2356,0
20151212:1656,0,0,10.4,9.78,0,,,20151213:0056,0
20151212:1756,0,0,10.42,9.59,0,,,20151213:0156,0
20151212:1856,0,0,10.44,9.39,0,,,20151213:0256,0
20151212:1956,0,0,10.38,9.25,0,,,20151213:0356,0
20151212:2056,0,0,10.32,9.11,0,,,20151213:0456,0
20151212:2156,0,0,10.26,8.97,0,,,20151213:0556,0
20151212:2256,0,0,10.12,7.27,0,,,20151213:0656,0
20151212:2356,0,0,9.98,5.57,0,,,20151213:0756,0
20151213:0056,0,0,9.85,3.88,0,,,20151213:0856,124.105
20151213:0156,0,0,9.08,3.29,0,,,20151213:0956,87.24
20151213:0256,0,0,8.31,2.71,0,,,20151213:1056,123.45
20151213:0356,0,0,7.55,2.12,0,,,20151213:1156,194.985
20151213:0456,0,0,7.04,2.34,0,,,20151213:1256,108.1
20151213:0556,0,0,6.54,2.55,0,,,20151213:1356,105.005
20151213:0656,0,0,6.03,2.76,0,,,20151213:1456,65.885
20151213:0756,0,0,6.01,2.9,0,,,20151213:1556,0
20151213:0856,136.71,4.95,5.98,3.03,0,,,20151213:1656,0
20151213:0956,127.79,10.29,5.95,3.17,0,,,20151213:1756,0
20151213:1056,186.09,13.76,6.47,2.84,0,,,20151213:1856,0
20151213:1156,194.52,15.06,6.99,2.51,0,,,20151213:1956,0
20151213:1256,169.45,14.07,7.51,2.18,0,,,20151213:2056,0
20151213:1356,143.68,10.88,7.96,1.9,0,,,20151213:2156,0
20151213:1456,88.26,5.77,8.41,1.62,0,,,20151213:2256,0
20151213:1556,0,0,8.86,1.34,0,,,20151213:2356,0
20151213:1656,0,0,8.83,1.59,0,,,20151214:0056,0
20151213:1756,0,0,8.8,1.84,0,,,20151214:0156,0
20151213:1856,0,0,8.78,2.1,0,,,20151214:0256,0
20151213:1956,0,0,8.5,2.55,0,,,20151214:0356,0
20151213:2056,0,0,8.22,3,0,,,20151214:0456,0
20151213:2156,0,0,7.93,3.45,0,,,20151214:0556,0
20151213:2256,0,0,7.72,3.2,0,,,20151214:0656,0
20151213:2356,0,0,7.5,2.96,0,,,20151214:0756,0
20151214:0056,0,0,7.29,2.72,0,,,20151214:0856,102.725
20151214:0156,0,0,7.05,2.79,0,,,20151214:0956,248.975
20151214:0256,0,0,6.8,2.86,0,,,20151214:1056,328.06
20151214:0356,0,0,6.56,2.92,0,,,20151214:1156,369.135
20151214:0456,0,0,6.34,2.8,0,,,20151214:1256,287.885
20151214:0556,0,0,6.12,2.68,0,,,20151214:1356,208.89
20151214:0656,0,0,5.89,2.55,0,,,20151214:1456,134.37
20151214:0756,0,0,5.88,2.89,0,,,20151214:1556,0
20151214:0856,133.17,4.84,5.88,3.22,0,,,20151214:1656,0
20151214:0956,116.73,10.2,5.87,3.56,0,,,20151214:1756,0
20151214:1056,144.89,13.68,6.46,3.63,0,,,20151214:1856,0
20151214:1156,185.89,15,7.05,3.71,0,,,20151214:1956,0
20151214:1256,167.65,14.02,7.65,3.78,0,,,20151214:2056,0
20151214:1356,119.63,10.85,7.66,3.9,0,,,20151214:2156,0
20151214:1456,87.89,5.75,7.68,4.03,0,,,20151214:2256,0
20151214:1556,0,0,7.7,4.15,0,,,20151214:2356,0
20151214:1656,0,0,7.51,4.11,0,,,20151215:0056,0
20151214:1756,0,0,7.32,4.07,0,,,20151215:0156,0
