"Latitude (decimal degrees):	51.790",,,,,,,,Date (ignore the year),Averaged G_i (W/m^2)
20150107:0156,0,0,1.69,3.56,0,,,20150107:0956,84.455
20150107:0256,0,0,1.95,3.68,0,,,20150107:1056,89.21
20150107:0356,0,0,2.2,3.81,0,,,20150107:1156,272.215
20150107:0456,0,0,2.36,3.9,0,,,20150107:1256,99.83
20150107:0556,0,0,2.51,4,0,,,20150107:1356,249.39
20150107:0656,0,0,2.66,4.1,0,,,20150107:1456,141.735
20150107:0756,0,0,3.08,4.44,0,,,20150107:1556,2.91
20150107:0856,169.28,4.41,3.49,4.78,0,,,20150107:1656,0
20150107:0956,54.39,10.11,3.91,5.12,0,,,20150107:1756,0
20150107:1056,52.12,14,4.87,5.94,0,,,20150107:1856,0
20150107:1156,53.48,15.75,5.82,6.76,0,,,20150107:1956,0
20150107:1256,21.97,15.19,6.78,7.59,0,,,20150107:2056,0
20150107:1356,38.93,12.38,6.63,7.7,0,,,20150107:2156,0
20150107:1456,15.19,7.57,6.48,7.82,0,,,20150107:2256,0
20150107:1556,1.14,1.13,6.33,7.93,0,,,20150107:2356,0
20150107:1656,0,0,6.39,8.14,0,,,20150108:0056,0
20150107:1756,0,0,6.45,8.34,0,,,20150108:0156,0
20150107:1856,0,0,6.51,8.55,0,,,20150108:0256,0
20150107:1956,0,0,7.03,8.52,0,,,20150108:0356,0
20150107:2056,0,0,7.56,8.49,0,,,20150108:0456,0
20150107:2156,0,0,8.09,8.46,0,,,20150108:0556,0
20150107:2256,0,0,8.69,8.16,0,,,20150108:0656,0
20150107:2356,0,0,9.3,7.86,0,,,20150108:0756,0
20150108:0056,0,0,9.91,7.56,0,,,20150108:0856,105.52
20150108:0156,0,0,9.71,7.27,0,,,20150108:0956,207.94
20150108:0256,0,0,9.51,6.99,0,,,20150108:1056,194.465
20150108:0356,0,0,9.31,6.7,0,,,20150108:1156,545.035
20150108:0456,0,0,8.91,5.96,0,,,20150108:1256,344.98
20150108:0556,0,0,8.52,5.22,0,,,20150108:1356,97.81
20150108:0656,0,0,8.12,4.48,0,,,20150108:1456,182.865
20150108:0756,0,0,7.74,4.3,0,,,20150108:1556,4.39
20150108:0856,60.56,4.48,7.35,4.11,0,,,20150108:1656,0
20150108:0956,22.92,10.2,6.97,3.93,0,,,20150108:1756,0
20150108:1056,40.98,14.11,7.1,4.11,0,,,20150108:1856,0
20150108:1156,501.52,15.88,7.23,4.29,0,,,20150108:1956,0
20150108:1256,567,15.33,7.36,4.47,0,,,20150108:2056,0
20150108:1356,121.06,12.53,7.22,4.66,0,,,20150108:2156,0
20150108:1456,275.74,7.73,7.08,4.86,0,,,20150108:2256,0
20150108:1556,5.96,1.29,6.94,5.05,0,,,20150108:2356,0
20150108:1656,0,0,6.11,4.97,0,,,20150109:0056,0
20150108:1756,0,0,5.29,4.88,0,,,20150109:0156,0
20150108:1856,0,0,4.46,4.8,0,,,20150109:0256,0
20150108:1956,0,0,4.58,5.11,0,,,20150109:0356,0
20150108:2056,0,0,4.7,5.42,0,,,20150109:0456,0
20150108:2156,0,0,4.82,5.72,0,,,20150109:0556,0
20150108:2256,0,0,5.41,6.65,0,,,20150109:0656,0
